<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;20180103;000000;109.2500000;110.4200000;108.3000000;109.1800000;8602720
MOEX;D;20180104;000000;109.1300000;109.8000000;108.5000000;109.1200000;9840610
MOEX;D;20180105;000000;109.1700000;109.3600000;108.0000000;108.2500000;7163440
MOEX;D;20180109;000000;108.3500000;109.8800000;108.2500000;109.0600000;13478570
MOEX;D;20180110;000000;109.2500000;113.5500000;109.2100000;113.4000000;17333780
MOEX;D;20180111;000000;113.6200000;115.5700000;112.3500000;115.3000000;14894070
MOEX;D;20180112;000000;115.1000000;115.2000000;112.8100000;113.4900000;9533700
MOEX;D;20180115;000000;113.4400000;114.3800000;113.0000000;113.8400000;5829750
MOEX;D;20180116;000000;113.8600000;114.9900000;111.4100000;112.9700000;8381100
MOEX;D;20180117;000000;112.1100000;113.1400000;111.3800000;112.5000000;8609600
MOEX;D;20180118;000000;112.7900000;113.9500000;112.6200000;113.4000000;8309790
MOEX;D;20180119;000000;113.3900000;113.5000000;111.0500000;111.5000000;8749360
MOEX;D;20180122;000000;111.5100000;113.8000000;111.5100000;113.6000000;8633140
MOEX;D;20180123;000000;113.7000000;115.4500000;113.5400000;115.0000000;9670560
MOEX;D;20180124;000000;114.7700000;114.9900000;113.8300000;114.8000000;4525530
MOEX;D;20180125;000000;115.0900000;116.8000000;115.0900000;116.3600000;10884590
MOEX;D;20180126;000000;116.3700000;116.5000000;113.3000000;115.7500000;8456480
MOEX;D;20180129;000000;115.7500000;119.2000000;115.4700000;118.2000000;9233580
MOEX;D;20180130;000000;117.7500000;118.7000000;116.5100000;117.1000000;8966260
MOEX;D;20180131;000000;116.9700000;116.9800000;114.8700000;115.0000000;6309950
MOEX;D;20180201;000000;115.3000000;117.1900000;115.2000000;116.7000000;6320820
MOEX;D;20180202;000000;116.8400000;117.9000000;114.2600000;115.8000000;8919510
MOEX;D;20180205;000000;114.7600000;116.4400000;113.5500000;115.7200000;6707000
MOEX;D;20180206;000000;114.3000000;115.3800000;113.3600000;113.6000000;8476190
MOEX;D;20180207;000000;114.2900000;114.9300000;113.5000000;113.5000000;5523540
MOEX;D;20180208;000000;113.4900000;114.0000000;112.5000000;112.8000000;5694450
MOEX;D;20180209;000000;111.8800000;112.1200000;109.5200000;110.5000000;12399400
MOEX;D;20180212;000000;111.3500000;111.5400000;110.0800000;110.3000000;6483440
MOEX;D;20180213;000000;110.9700000;111.4700000;110.3000000;111.2500000;5075720
MOEX;D;20180214;000000;111.6000000;112.5500000;110.7700000;111.2000000;8399850
MOEX;D;20180215;000000;111.7600000;111.8900000;110.2300000;110.3000000;5696950
MOEX;D;20180216;000000;110.7000000;111.1800000;110.3500000;110.6200000;4338800
MOEX;D;20180219;000000;110.7800000;111.4300000;110.5500000;110.5600000;2699440
MOEX;D;20180220;000000;110.8000000;111.4000000;110.3400000;111.4000000;4699480
MOEX;D;20180221;000000;111.2000000;114.2300000;110.8700000;114.2300000;7807980
MOEX;D;20180222;000000;113.9900000;114.3900000;112.8600000;113.6800000;8126130
MOEX;D;20180226;000000;114.4900000;115.1200000;113.8800000;115.0000000;6776300
MOEX;D;20180227;000000;115.0100000;115.4000000;114.1400000;115.0900000;3117330
MOEX;D;20180228;000000;114.0300000;114.5800000;111.8500000;111.8500000;4834880
MOEX;D;20180301;000000;111.3000000;114.3800000;110.9200000;114.2900000;5672350
MOEX;D;20180302;000000;113.7100000;116.2400000;113.4300000;115.4600000;8926250
MOEX;D;20180305;000000;116.0100000;117.7700000;116.0100000;117.0000000;4551960
MOEX;D;20180306;000000;117.4900000;121.2000000;117.2100000;119.6500000;12526990
MOEX;D;20180307;000000;119.4200000;119.4800000;116.1400000;117.0000000;9471800
MOEX;D;20180309;000000;117.0200000;120.9700000;116.4500000;120.9700000;4485730
MOEX;D;20180312;000000;120.9800000;121.2000000;117.5700000;118.4000000;5276810
MOEX;D;20180313;000000;118.5900000;119.6500000;117.3000000;119.0000000;6311500
MOEX;D;20180314;000000;118.7400000;118.7500000;115.5700000;115.5700000;7379520
MOEX;D;20180315;000000;115.5000000;117.6900000;114.7600000;117.0000000;9181330
MOEX;D;20180316;000000;117.2700000;121.0000000;116.4100000;121.0000000;10861040
MOEX;D;20180319;000000;120.0400000;120.8800000;118.8000000;119.5000000;5975770
MOEX;D;20180320;000000;119.6000000;119.7300000;117.7500000;118.4000000;5970880
MOEX;D;20180321;000000;118.6100000;119.1700000;118.0200000;118.5000000;6460350
MOEX;D;20180322;000000;118.7100000;119.0900000;117.0800000;117.8800000;3499560
MOEX;D;20180323;000000;117.1100000;119.0000000;108.5800000;119.0000000;9992220
MOEX;D;20180326;000000;118.5900000;118.9900000;115.9800000;115.9800000;5729310
