<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFLT,5,20210309,100500,69.5800000,69.7400000,69.3600000,69.3800000,406800
AFLT,5,20210309,101000,69.4000000,69.5000000,69.3200000,69.4800000,202030
AFLT,5,20210309,101500,69.4800000,69.6200000,69.4400000,69.5800000,182680
AFLT,5,20210309,102000,69.6000000,69.9000000,69.0600000,69.4400000,1145650
AFLT,5,20210309,102500,69.4800000,69.5000000,69.2800000,69.3800000,220310
AFLT,5,20210309,103000,69.3400000,69.4600000,69.3200000,69.3400000,72480
AFLT,5,20210309,103500,69.3800000,69.3800000,69.3000000,69.3400000,42800
AFLT,5,20210309,104000,69.3400000,69.3800000,69.2200000,69.3400000,419350
AFLT,5,20210309,104500,69.3400000,69.4200000,69.3000000,69.4200000,125860
AFLT,5,20210309,105000,69.4000000,69.5200000,69.3800000,69.4800000,153960
AFLT,5,20210309,105500,69.5000000,69.6000000,69.4600000,69.5200000,63360
AFLT,5,20210309,110000,69.5800000,69.6200000,69.4600000,69.6000000,210550
AFLT,5,20210309,110500,69.6000000,69.6800000,69.5400000,69.5800000,94190
AFLT,5,20210309,111000,69.6000000,69.6000000,69.4000000,69.5200000,136550
AFLT,5,20210309,111500,69.5200000,69.5800000,69.4400000,69.5200000,66620
AFLT,5,20210309,112000,69.4800000,69.5000000,69.3800000,69.4200000,101450
AFLT,5,20210309,112500,69.3800000,69.4600000,69.3800000,69.4600000,61440
AFLT,5,20210309,113000,69.4600000,69.5600000,69.4000000,69.5600000,229380
AFLT,5,20210309,113500,69.5600000,69.6000000,69.3200000,69.4400000,231940
AFLT,5,20210309,114000,69.4400000,69.4800000,69.3800000,69.4400000,76310
AFLT,5,20210309,114500,69.4400000,69.4800000,69.3400000,69.4000000,81000
AFLT,5,20210309,115000,69.4200000,69.5600000,69.3800000,69.4400000,182850
AFLT,5,20210309,115500,69.4400000,69.6000000,69.4400000,69.5400000,124100
AFLT,5,20210309,120000,69.5400000,69.5600000,69.5000000,69.5200000,112880
AFLT,5,20210309,120500,69.5000000,69.5800000,69.5000000,69.5200000,84080
AFLT,5,20210309,121000,69.5200000,69.5800000,69.5200000,69.5800000,36590
AFLT,5,20210309,121500,69.5800000,69.6200000,69.5000000,69.6000000,95140
AFLT,5,20210309,122000,69.6200000,69.6800000,69.5800000,69.6000000,84390
AFLT,5,20210309,122500,69.6400000,69.6400000,69.5000000,69.5000000,156780
AFLT,5,20210309,123000,69.5400000,69.5400000,69.5000000,69.5400000,54400
AFLT,5,20210309,123500,69.5400000,69.6000000,69.5000000,69.5800000,104670
AFLT,5,20210309,124000,69.5600000,69.6000000,69.5400000,69.6000000,45830
AFLT,5,20210309,124500,69.6000000,69.6200000,69.5000000,69.5200000,127750
AFLT,5,20210309,125000,69.5600000,69.5800000,69.5000000,69.5600000,113590
AFLT,5,20210309,125500,69.5600000,69.5800000,69.5000000,69.5400000,100610
AFLT,5,20210309,130000,69.5400000,69.5600000,69.5000000,69.5400000,37830
AFLT,5,20210309,130500,69.5400000,69.6000000,69.5000000,69.5600000,185670
AFLT,5,20210309,131000,69.5200000,69.6000000,69.5200000,69.5800000,81870
AFLT,5,20210309,131500,69.5800000,69.5800000,69.5000000,69.5400000,44490
AFLT,5,20210309,132000,69.5400000,69.5400000,69.5000000,69.5200000,42890
AFLT,5,20210309,132500,69.5200000,69.5400000,69.5000000,69.5200000,45390
AFLT,5,20210309,133000,69.5200000,69.5400000,69.5000000,69.5400000,35230
AFLT,5,20210309,133500,69.5200000,69.6600000,69.5200000,69.5600000,509790
AFLT,5,20210309,134000,69.5600000,69.5600000,69.5000000,69.5400000,66200
