<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHMF,5,20200302,100500,832.2000000,835.8000000,829.0000000,834.4000000,87459
CHMF,5,20200302,101000,834.4000000,844.2000000,833.0000000,842.6000000,68633
CHMF,5,20200302,101500,842.4000000,846.8000000,840.0000000,843.6000000,64090
CHMF,5,20200302,102000,842.4000000,844.8000000,840.2000000,844.6000000,20746
CHMF,5,20200302,102500,844.6000000,844.8000000,840.0000000,842.4000000,57771
CHMF,5,20200302,103000,841.6000000,841.8000000,836.2000000,837.8000000,54838
CHMF,5,20200302,103500,838.4000000,843.8000000,837.6000000,843.2000000,19098
CHMF,5,20200302,104000,843.2000000,844.6000000,840.4000000,842.8000000,29505
CHMF,5,20200302,104500,842.8000000,843.0000000,839.2000000,840.2000000,16817
CHMF,5,20200302,105000,840.2000000,842.8000000,838.4000000,841.4000000,19188
CHMF,5,20200302,105500,841.4000000,841.8000000,838.4000000,840.0000000,16829
CHMF,5,20200302,110000,840.0000000,840.0000000,839.0000000,840.0000000,12997
CHMF,5,20200302,110500,840.0000000,840.0000000,837.6000000,838.2000000,42693
CHMF,5,20200302,111000,838.0000000,839.0000000,836.0000000,838.0000000,46109
CHMF,5,20200302,111500,838.2000000,838.4000000,831.0000000,832.8000000,67894
CHMF,5,20200302,112000,832.8000000,834.4000000,832.0000000,833.8000000,25707
CHMF,5,20200302,112500,833.8000000,837.2000000,833.4000000,837.0000000,25065
CHMF,5,20200302,113000,837.0000000,837.0000000,833.4000000,834.8000000,21623
CHMF,5,20200302,113500,834.8000000,836.4000000,833.6000000,836.4000000,8799
CHMF,5,20200302,114000,836.4000000,839.0000000,835.8000000,838.6000000,16094
CHMF,5,20200302,114500,838.8000000,839.0000000,837.4000000,837.4000000,10397
CHMF,5,20200302,115000,837.4000000,838.6000000,837.0000000,838.4000000,5412
CHMF,5,20200302,115500,838.4000000,838.4000000,837.4000000,837.8000000,7749
CHMF,5,20200302,120000,837.8000000,838.4000000,834.4000000,835.6000000,18789
CHMF,5,20200302,120500,835.4000000,836.0000000,833.0000000,834.0000000,16227
CHMF,5,20200302,121000,834.0000000,834.8000000,832.6000000,832.8000000,9252
CHMF,5,20200302,121500,833.0000000,834.2000000,831.2000000,831.6000000,12289
CHMF,5,20200302,122000,831.6000000,831.8000000,829.2000000,829.2000000,27607
CHMF,5,20200302,122500,829.0000000,834.2000000,828.4000000,831.2000000,15555
CHMF,5,20200302,123000,831.2000000,831.2000000,828.8000000,831.0000000,7158
CHMF,5,20200302,123500,831.0000000,831.6000000,829.8000000,830.2000000,6730
CHMF,5,20200302,124000,830.0000000,831.2000000,830.0000000,830.0000000,5710
CHMF,5,20200302,124500,830.0000000,830.8000000,826.4000000,827.0000000,20572
CHMF,5,20200302,125000,827.0000000,830.0000000,826.4000000,829.0000000,9648
CHMF,5,20200302,125500,829.0000000,829.6000000,826.6000000,826.8000000,7219
CHMF,5,20200302,130000,826.6000000,827.8000000,824.6000000,827.2000000,17821
CHMF,5,20200302,130500,827.2000000,827.2000000,824.8000000,825.6000000,10965
CHMF,5,20200302,131000,825.2000000,826.6000000,824.8000000,825.4000000,11601
CHMF,5,20200302,131500,825.4000000,825.4000000,822.8000000,822.8000000,16665
CHMF,5,20200302,132000,823.0000000,826.0000000,822.6000000,825.6000000,19486
CHMF,5,20200302,132500,825.6000000,826.6000000,824.8000000,825.2000000,10574
CHMF,5,20200302,133000,825.0000000,827.8000000,824.8000000,825.6000000,17831
CHMF,5,20200302,133500,825.6000000,828.6000000,825.6000000,828.2000000,14129
CHMF,5,20200302,134000,827.8000000,829.0000000,826.0000000,826.4000000,7745
CHMF,5,20200302,134500,826.4000000,828.0000000,825.4000000,828.0000000,8387
CHMF,5,20200302,135000,827.6000000,829.6000000,826.2000000,826.4000000,13253
CHMF,5,20200302,135500,826.4000000,827.0000000,825.4000000,826.6000000,11964
CHMF,5,20200302,140000,826.8000000,827.2000000,823.8000000,823.8000000,12163
CHMF,5,20200302,140500,824.2000000,825.0000000,823.2000000,823.2000000,27502
CHMF,5,20200302,141000,823.2000000,823.6000000,820.0000000,820.0000000,28727
CHMF,5,20200302,141500,820.2000000,820.4000000,817.4000000,817.4000000,25662
CHMF,5,20200302,142000,817.6000000,820.8000000,816.6000000,819.8000000,24803
CHMF,5,20200302,142500,820.2000000,820.4000000,817.2000000,819.0000000,11108
CHMF,5,20200302,143000,818.8000000,819.2000000,816.8000000,817.0000000,9615
CHMF,5,20200302,143500,817.2000000,818.4000000,816.4000000,817.6000000,24602
CHMF,5,20200302,144000,817.4000000,819.0000000,817.0000000,817.8000000,9966
CHMF,5,20200302,144500,817.8000000,817.8000000,815.0000000,816.0000000,15654
CHMF,5,20200302,145000,815.6000000,817.4000000,815.0000000,817.2000000,12742
CHMF,5,20200302,145500,817.2000000,817.4000000,815.0000000,815.2000000,9344
CHMF,5,20200302,150000,815.2000000,815.6000000,808.6000000,810.2000000,82084
CHMF,5,20200302,150500,810.2000000,810.8000000,802.2000000,802.4000000,85610
CHMF,5,20200302,151000,803.2000000,811.8000000,799.4000000,806.8000000,121799
CHMF,5,20200302,151500,806.0000000,810.4000000,802.2000000,807.6000000,30795
CHMF,5,20200302,152000,808.0000000,810.8000000,803.6000000,803.6000000,20733
CHMF,5,20200302,152500,804.0000000,806.6000000,801.6000000,804.6000000,27226
CHMF,5,20200302,153000,804.6000000,813.8000000,803.8000000,813.8000000,16556
