<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHMF,5,20210309,100500,1345.0000000,1349.8000000,1332.2000000,1338.6000000,19373
CHMF,5,20210309,101000,1338.6000000,1341.4000000,1336.0000000,1337.8000000,5064
CHMF,5,20210309,101500,1337.8000000,1340.8000000,1335.4000000,1338.4000000,5486
CHMF,5,20210309,102000,1338.8000000,1347.8000000,1338.4000000,1347.0000000,20200
CHMF,5,20210309,102500,1347.0000000,1350.0000000,1343.8000000,1349.6000000,11761
CHMF,5,20210309,103000,1349.6000000,1350.6000000,1343.0000000,1343.2000000,11001
CHMF,5,20210309,103500,1343.0000000,1345.6000000,1339.0000000,1340.8000000,15543
CHMF,5,20210309,104000,1340.6000000,1347.4000000,1339.4000000,1345.4000000,6156
CHMF,5,20210309,104500,1345.4000000,1347.4000000,1343.2000000,1343.2000000,6299
CHMF,5,20210309,105000,1343.8000000,1347.0000000,1342.8000000,1346.6000000,2798
CHMF,5,20210309,105500,1346.8000000,1347.0000000,1342.2000000,1344.6000000,17989
CHMF,5,20210309,110000,1344.4000000,1345.0000000,1340.2000000,1342.2000000,6787
CHMF,5,20210309,110500,1342.0000000,1342.2000000,1338.4000000,1338.4000000,9167
CHMF,5,20210309,111000,1339.2000000,1341.6000000,1335.0000000,1336.0000000,22377
CHMF,5,20210309,111500,1337.0000000,1338.0000000,1334.0000000,1334.8000000,20339
CHMF,5,20210309,112000,1334.0000000,1336.0000000,1333.0000000,1333.8000000,5652
CHMF,5,20210309,112500,1334.6000000,1336.2000000,1333.8000000,1336.0000000,7491
CHMF,5,20210309,113000,1336.0000000,1336.8000000,1334.2000000,1335.0000000,4103
CHMF,5,20210309,113500,1335.0000000,1338.0000000,1334.6000000,1336.8000000,4211
CHMF,5,20210309,114000,1336.6000000,1336.8000000,1332.4000000,1333.0000000,13045
CHMF,5,20210309,114500,1333.0000000,1333.2000000,1331.0000000,1332.8000000,5094
CHMF,5,20210309,115000,1332.6000000,1333.8000000,1331.0000000,1332.2000000,5116
CHMF,5,20210309,115500,1332.2000000,1332.2000000,1328.2000000,1328.4000000,12531
CHMF,5,20210309,120000,1328.2000000,1330.2000000,1328.0000000,1329.6000000,10353
CHMF,5,20210309,120500,1329.0000000,1330.0000000,1326.0000000,1326.8000000,28549
CHMF,5,20210309,121000,1326.8000000,1329.4000000,1324.2000000,1324.2000000,38967
CHMF,5,20210309,121500,1324.2000000,1324.2000000,1316.4000000,1319.8000000,61057
CHMF,5,20210309,122000,1319.4000000,1319.8000000,1307.6000000,1308.4000000,50359
CHMF,5,20210309,122500,1308.0000000,1312.6000000,1305.2000000,1309.0000000,61156
CHMF,5,20210309,123000,1309.0000000,1313.6000000,1309.0000000,1313.4000000,21022
CHMF,5,20210309,123500,1313.8000000,1316.8000000,1311.6000000,1316.4000000,16203
CHMF,5,20210309,124000,1316.0000000,1316.6000000,1311.0000000,1312.2000000,16421
CHMF,5,20210309,124500,1313.2000000,1316.4000000,1311.6000000,1314.6000000,15515
CHMF,5,20210309,125000,1314.6000000,1315.0000000,1309.0000000,1311.2000000,26613
CHMF,5,20210309,125500,1310.0000000,1311.8000000,1308.2000000,1308.6000000,9550
