<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FIVE,5,20200302,100500,2112.5000000,2120.0000000,2060.0000000,2082.0000000,9800
FIVE,5,20200302,101000,2089.5000000,2090.0000000,2079.0000000,2087.5000000,4000
FIVE,5,20200302,101500,2087.5000000,2142.0000000,2085.5000000,2120.0000000,7133
FIVE,5,20200302,102000,2121.5000000,2129.5000000,2114.0000000,2118.0000000,1584
FIVE,5,20200302,102500,2116.5000000,2122.5000000,2116.0000000,2117.5000000,2927
FIVE,5,20200302,103000,2114.5000000,2116.0000000,2105.0000000,2106.0000000,583
FIVE,5,20200302,103500,2108.5000000,2108.5000000,2103.0000000,2107.5000000,464
FIVE,5,20200302,104000,2108.0000000,2115.0000000,2108.0000000,2109.0000000,1063
FIVE,5,20200302,104500,2113.5000000,2119.0000000,2110.5000000,2118.5000000,341
FIVE,5,20200302,105000,2118.0000000,2124.0000000,2116.5000000,2122.0000000,695
FIVE,5,20200302,105500,2122.0000000,2123.0000000,2111.5000000,2115.5000000,1568
FIVE,5,20200302,110000,2116.0000000,2116.0000000,2110.0000000,2110.5000000,1039
FIVE,5,20200302,110500,2111.0000000,2124.5000000,2104.0000000,2122.0000000,9434
FIVE,5,20200302,111000,2118.5000000,2134.0000000,2118.5000000,2129.0000000,7383
FIVE,5,20200302,111500,2126.5000000,2134.0000000,2125.0000000,2128.5000000,3446
FIVE,5,20200302,112000,2131.0000000,2134.5000000,2124.5000000,2130.5000000,6414
FIVE,5,20200302,112500,2131.0000000,2139.0000000,2127.5000000,2134.0000000,10621
FIVE,5,20200302,113000,2134.5000000,2135.0000000,2124.5000000,2126.0000000,1709
FIVE,5,20200302,113500,2126.0000000,2130.5000000,2119.5000000,2126.0000000,4004
FIVE,5,20200302,114000,2126.0000000,2137.5000000,2123.5000000,2137.5000000,1906
FIVE,5,20200302,114500,2135.5000000,2147.0000000,2135.5000000,2144.5000000,4131
FIVE,5,20200302,115000,2142.0000000,2148.5000000,2138.5000000,2145.0000000,6066
FIVE,5,20200302,115500,2147.0000000,2149.5000000,2144.5000000,2149.0000000,1639
