<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FIVE,5,20210309,100500,2446.0000000,2470.0000000,2437.5000000,2443.5000000,6621
FIVE,5,20210309,101000,2440.5000000,2448.0000000,2438.0000000,2447.0000000,8465
FIVE,5,20210309,101500,2447.0000000,2457.5000000,2445.0000000,2457.0000000,3308
FIVE,5,20210309,102000,2457.0000000,2465.0000000,2456.0000000,2463.5000000,2110
FIVE,5,20210309,102500,2463.5000000,2464.0000000,2459.0000000,2460.0000000,1049
FIVE,5,20210309,103000,2460.0000000,2464.0000000,2460.0000000,2464.0000000,581
FIVE,5,20210309,103500,2462.0000000,2468.5000000,2462.0000000,2464.0000000,1229
FIVE,5,20210309,104000,2463.0000000,2465.5000000,2462.0000000,2464.5000000,1280
FIVE,5,20210309,104500,2465.0000000,2466.5000000,2463.0000000,2464.0000000,815
FIVE,5,20210309,105000,2462.5000000,2464.5000000,2459.0000000,2460.0000000,4874
FIVE,5,20210309,105500,2460.0000000,2460.0000000,2455.0000000,2455.5000000,958
FIVE,5,20210309,110000,2455.5000000,2458.5000000,2454.0000000,2457.5000000,2570
FIVE,5,20210309,110500,2457.5000000,2459.0000000,2436.0000000,2439.0000000,20981
FIVE,5,20210309,111000,2439.0000000,2439.0000000,2431.0000000,2434.0000000,4995
FIVE,5,20210309,111500,2435.0000000,2435.0000000,2423.0000000,2429.0000000,13479
FIVE,5,20210309,112000,2427.0000000,2433.0000000,2426.0000000,2429.5000000,1433
FIVE,5,20210309,112500,2431.0000000,2431.5000000,2426.5000000,2431.0000000,1372
FIVE,5,20210309,113000,2431.0000000,2440.0000000,2430.5000000,2439.0000000,5092
FIVE,5,20210309,113500,2439.5000000,2442.5000000,2439.0000000,2440.5000000,3135
FIVE,5,20210309,114000,2440.5000000,2442.0000000,2439.0000000,2439.5000000,1610
FIVE,5,20210309,114500,2439.0000000,2444.0000000,2437.0000000,2444.0000000,3452
FIVE,5,20210309,115000,2443.0000000,2444.0000000,2439.0000000,2442.0000000,2458
FIVE,5,20210309,115500,2440.5000000,2441.0000000,2439.0000000,2440.5000000,1772
FIVE,5,20210309,120000,2440.0000000,2442.0000000,2439.0000000,2441.5000000,774
FIVE,5,20210309,120500,2441.5000000,2443.0000000,2440.5000000,2443.0000000,792
FIVE,5,20210309,121000,2441.5000000,2442.5000000,2438.5000000,2438.5000000,6353
FIVE,5,20210309,121500,2439.0000000,2439.0000000,2429.0000000,2430.0000000,13450
FIVE,5,20210309,122000,2431.5000000,2431.5000000,2426.0000000,2427.0000000,1501
FIVE,5,20210309,122500,2426.5000000,2432.0000000,2425.0000000,2432.0000000,8505
FIVE,5,20210309,123000,2432.5000000,2432.5000000,2428.0000000,2430.0000000,2352
FIVE,5,20210309,123500,2430.0000000,2431.0000000,2429.0000000,2429.5000000,650
FIVE,5,20210309,124000,2429.5000000,2434.0000000,2429.0000000,2432.0000000,890
FIVE,5,20210309,124500,2431.0000000,2436.5000000,2431.0000000,2432.5000000,1128
FIVE,5,20210309,125000,2433.5000000,2433.5000000,2431.0000000,2431.0000000,1069
FIVE,5,20210309,125500,2432.0000000,2433.5000000,2431.0000000,2433.0000000,1084
FIVE,5,20210309,130000,2433.0000000,2433.5000000,2428.0000000,2428.0000000,1422
FIVE,5,20210309,130500,2429.5000000,2432.0000000,2428.5000000,2431.5000000,2311
FIVE,5,20210309,131000,2431.5000000,2439.0000000,2430.0000000,2439.0000000,2421
FIVE,5,20210309,131500,2439.0000000,2440.5000000,2433.5000000,2438.5000000,3121
FIVE,5,20210309,132000,2438.0000000,2438.5000000,2436.0000000,2437.5000000,648
FIVE,5,20210309,132500,2437.5000000,2438.5000000,2436.5000000,2438.0000000,714
FIVE,5,20210309,133000,2438.0000000,2438.0000000,2433.5000000,2435.5000000,1769
FIVE,5,20210309,133500,2435.5000000,2439.5000000,2435.5000000,2437.0000000,2273
FIVE,5,20210309,134000,2438.5000000,2441.0000000,2436.5000000,2440.5000000,811
FIVE,5,20210309,134500,2440.5000000,2441.5000000,2439.0000000,2439.0000000,527
FIVE,5,20210309,135000,2440.5000000,2442.0000000,2439.0000000,2441.5000000,637
FIVE,5,20210309,135500,2441.5000000,2442.5000000,2438.5000000,2439.5000000,1891
FIVE,5,20210309,140000,2440.5000000,2442.0000000,2438.5000000,2440.5000000,1856
FIVE,5,20210309,140500,2440.5000000,2441.5000000,2440.0000000,2440.5000000,173
FIVE,5,20210309,141000,2440.0000000,2443.0000000,2439.0000000,2443.0000000,744
FIVE,5,20210309,141500,2443.0000000,2446.0000000,2441.5000000,2441.5000000,1645
FIVE,5,20210309,142000,2443.0000000,2444.5000000,2439.0000000,2441.5000000,954
FIVE,5,20210309,142500,2441.5000000,2444.0000000,2440.0000000,2443.5000000,564
FIVE,5,20210309,143000,2442.5000000,2450.5000000,2442.5000000,2447.5000000,5512
FIVE,5,20210309,143500,2446.0000000,2450.0000000,2446.0000000,2448.0000000,1333
FIVE,5,20210309,144000,2447.0000000,2450.5000000,2447.0000000,2449.5000000,995
FIVE,5,20210309,144500,2448.0000000,2450.0000000,2447.5000000,2448.5000000,1450
FIVE,5,20210309,145000,2448.0000000,2448.5000000,2446.0000000,2446.5000000,1650
FIVE,5,20210309,145500,2447.5000000,2450.5000000,2446.5000000,2450.0000000,1402
FIVE,5,20210309,150000,2450.0000000,2455.0000000,2450.0000000,2454.0000000,8668
FIVE,5,20210309,150500,2454.0000000,2455.0000000,2452.0000000,2452.5000000,1479
FIVE,5,20210309,151000,2454.0000000,2454.0000000,2450.5000000,2452.5000000,1331
FIVE,5,20210309,151500,2451.5000000,2454.0000000,2451.5000000,2454.0000000,1086
FIVE,5,20210309,152000,2454.0000000,2454.5000000,2450.0000000,2450.5000000,1202
FIVE,5,20210309,152500,2451.0000000,2451.5000000,2448.0000000,2449.5000000,740
FIVE,5,20210309,153000,2449.5000000,2450.0000000,2447.5000000,2449.0000000,1006
FIVE,5,20210309,153500,2449.0000000,2452.0000000,2447.5000000,2449.0000000,1117
FIVE,5,20210309,154000,2449.0000000,2452.0000000,2448.0000000,2449.0000000,2350
FIVE,5,20210309,154500,2449.5000000,2450.0000000,2447.0000000,2449.0000000,2126
FIVE,5,20210309,155000,2449.0000000,2450.0000000,2447.0000000,2449.0000000,849
FIVE,5,20210309,155500,2449.5000000,2449.5000000,2446.5000000,2446.5000000,893
FIVE,5,20210309,160000,2447.0000000,2451.0000000,2446.5000000,2449.0000000,1647
FIVE,5,20210309,160500,2449.0000000,2451.0000000,2447.5000000,2449.5000000,1507
FIVE,5,20210309,161000,2449.5000000,2451.0000000,2448.5000000,2450.0000000,1262
FIVE,5,20210309,161500,2451.0000000,2451.0000000,2446.0000000,2446.5000000,1208
FIVE,5,20210309,162000,2446.0000000,2450.0000000,2446.0000000,2450.0000000,4574
FIVE,5,20210309,162500,2450.0000000,2450.0000000,2446.0000000,2450.0000000,2197
FIVE,5,20210309,163000,2449.0000000,2449.0000000,2440.0000000,2440.5000000,3489
FIVE,5,20210309,163500,2440.0000000,2442.5000000,2439.5000000,2439.5000000,1900
FIVE,5,20210309,164000,2439.5000000,2442.0000000,2438.5000000,2440.5000000,1436
FIVE,5,20210309,164500,2440.5000000,2441.0000000,2435.5000000,2436.0000000,2438
FIVE,5,20210309,165000,2436.0000000,2437.5000000,2433.0000000,2437.5000000,3133
FIVE,5,20210309,165500,2437.5000000,2439.5000000,2437.5000000,2438.0000000,1021
FIVE,5,20210309,170000,2438.0000000,2439.0000000,2437.5000000,2438.0000000,658
FIVE,5,20210309,170500,2438.0000000,2438.5000000,2434.0000000,2435.5000000,1926
FIVE,5,20210309,171000,2435.5000000,2440.0000000,2432.5000000,2435.0000000,4728
FIVE,5,20210309,171500,2435.0000000,2437.0000000,2434.0000000,2435.0000000,4126
FIVE,5,20210309,172000,2435.0000000,2436.0000000,2434.0000000,2435.0000000,4360
FIVE,5,20210309,172500,2435.5000000,2435.5000000,2425.0000000,2426.0000000,12751
FIVE,5,20210309,173000,2425.0000000,2430.0000000,2424.0000000,2425.0000000,6111
FIVE,5,20210309,173500,2425.5000000,2432.0000000,2425.0000000,2427.5000000,4914
FIVE,5,20210309,174000,2428.0000000,2428.5000000,2423.5000000,2426.0000000,5333
FIVE,5,20210309,174500,2426.0000000,2426.5000000,2424.5000000,2425.0000000,4611
FIVE,5,20210309,175000,2425.5000000,2428.0000000,2424.5000000,2425.5000000,4828
FIVE,5,20210309,175500,2425.0000000,2428.0000000,2425.0000000,2426.5000000,4769
FIVE,5,20210309,180000,2426.0000000,2430.0000000,2425.0000000,2425.0000000,4693
FIVE,5,20210309,180500,2425.0000000,2430.0000000,2424.0000000,2426.5000000,5679
FIVE,5,20210309,181000,2425.0000000,2432.0000000,2425.0000000,2425.5000000,4717
FIVE,5,20210309,181500,2426.5000000,2427.0000000,2425.0000000,2425.0000000,4549
FIVE,5,20210309,182000,2425.0000000,2426.5000000,2424.5000000,2426.5000000,4730
FIVE,5,20210309,182500,2425.0000000,2428.0000000,2424.0000000,2425.0000000,5800
FIVE,5,20210309,183000,2425.0000000,2427.0000000,2425.0000000,2425.5000000,6699
FIVE,5,20210309,183500,2426.5000000,2427.5000000,2426.0000000,2427.5000000,826
FIVE,5,20210309,184000,2428.5000000,2433.0000000,2426.0000000,2430.0000000,3761
FIVE,5,20210309,185000,2427.0000000,2427.0000000,2427.0000000,2427.0000000,17949
FIVE,5,20210309,191000,2434.5000000,2460.5000000,2428.0000000,2429.5000000,8210
FIVE,5,20210309,191500,2431.0000000,2431.5000000,2428.0000000,2428.5000000,995
FIVE,5,20210309,192000,2428.5000000,2435.0000000,2428.5000000,2433.5000000,789
FIVE,5,20210309,192500,2433.0000000,2434.5000000,2431.5000000,2433.0000000,182
FIVE,5,20210309,193000,2433.5000000,2435.0000000,2430.0000000,2432.0000000,1087
FIVE,5,20210309,193500,2432.0000000,2436.5000000,2431.0000000,2431.0000000,861
FIVE,5,20210309,194000,2432.5000000,2434.5000000,2431.0000000,2433.5000000,390
FIVE,5,20210309,194500,2431.5000000,2435.5000000,2431.5000000,2435.5000000,267
FIVE,5,20210309,195000,2434.0000000,2436.0000000,2434.0000000,2436.0000000,170
FIVE,5,20210309,195500,2436.0000000,2436.0000000,2433.5000000,2436.0000000,315
FIVE,5,20210309,200000,2436.0000000,2440.0000000,2434.0000000,2437.5000000,2142
FIVE,5,20210309,200500,2437.5000000,2439.0000000,2434.5000000,2434.5000000,232
FIVE,5,20210309,201000,2434.5000000,2440.0000000,2434.5000000,2440.0000000,251
FIVE,5,20210309,201500,2440.0000000,2440.0000000,2437.5000000,2439.0000000,167
FIVE,5,20210309,202000,2439.0000000,2439.5000000,2437.5000000,2438.5000000,589
FIVE,5,20210309,202500,2438.0000000,2438.5000000,2434.0000000,2436.5000000,607
FIVE,5,20210309,203000,2436.0000000,2439.5000000,2436.0000000,2437.5000000,218
FIVE,5,20210309,203500,2437.5000000,2438.5000000,2437.5000000,2437.5000000,496
FIVE,5,20210309,204000,2437.5000000,2437.5000000,2437.0000000,2437.5000000,308
FIVE,5,20210309,204500,2437.5000000,2437.5000000,2436.0000000,2436.5000000,145
FIVE,5,20210309,205000,2436.5000000,2436.5000000,2436.0000000,2436.5000000,132
FIVE,5,20210309,205500,2436.5000000,2437.5000000,2436.0000000,2437.5000000,84
FIVE,5,20210309,210000,2436.5000000,2437.5000000,2436.0000000,2436.5000000,157
FIVE,5,20210309,210500,2436.5000000,2436.5000000,2436.0000000,2436.0000000,511
FIVE,5,20210309,211000,2436.0000000,2436.5000000,2432.5000000,2434.5000000,624
FIVE,5,20210309,211500,2434.5000000,2434.5000000,2433.0000000,2434.5000000,159
FIVE,5,20210309,212000,2434.5000000,2435.0000000,2434.0000000,2434.5000000,64
FIVE,5,20210309,212500,2434.5000000,2435.0000000,2433.0000000,2433.5000000,198
FIVE,5,20210309,213000,2433.5000000,2433.5000000,2431.5000000,2433.0000000,387
FIVE,5,20210309,213500,2433.0000000,2433.5000000,2431.5000000,2433.5000000,386
FIVE,5,20210309,214000,2433.5000000,2433.5000000,2433.0000000,2433.5000000,389
FIVE,5,20210309,214500,2433.5000000,2433.5000000,2431.0000000,2433.5000000,663
FIVE,5,20210309,215000,2433.5000000,2434.5000000,2432.0000000,2434.5000000,80
FIVE,5,20210309,215500,2432.0000000,2434.0000000,2432.0000000,2433.0000000,116
FIVE,5,20210309,220000,2433.0000000,2434.5000000,2433.0000000,2433.0000000,129
FIVE,5,20210309,220500,2434.5000000,2435.0000000,2433.0000000,2434.0000000,199
FIVE,5,20210309,221000,2434.0000000,2435.0000000,2433.0000000,2434.0000000,667
FIVE,5,20210309,221500,2434.0000000,2436.0000000,2434.0000000,2436.0000000,117
FIVE,5,20210309,222000,2435.0000000,2435.0000000,2431.0000000,2433.5000000,1411
FIVE,5,20210309,222500,2433.5000000,2434.0000000,2431.5000000,2434.0000000,41
FIVE,5,20210309,223000,2434.0000000,2434.0000000,2431.5000000,2433.5000000,151
FIVE,5,20210309,223500,2433.5000000,2435.0000000,2431.5000000,2435.0000000,137
