<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LNTA,5,20200302,100500,164.7000000,168.3000000,164.5000000,164.5000000,7082
LNTA,5,20200302,101000,164.7000000,165.9000000,164.1000000,165.9000000,11810
LNTA,5,20200302,101500,165.7000000,168.0000000,165.7000000,167.9000000,7952
LNTA,5,20200302,102000,167.7000000,167.7000000,167.0000000,167.1000000,15002
LNTA,5,20200302,102500,167.1000000,168.0000000,167.0000000,167.1000000,3693
LNTA,5,20200302,103000,167.1000000,167.4000000,166.0000000,166.0000000,15292
LNTA,5,20200302,103500,166.4000000,167.0000000,166.4000000,167.0000000,1166
LNTA,5,20200302,104000,167.1000000,167.2000000,166.9000000,167.1000000,5216
LNTA,5,20200302,104500,167.2000000,167.5000000,167.1000000,167.5000000,1977
LNTA,5,20200302,105000,167.5000000,167.5000000,167.2000000,167.5000000,2123
LNTA,5,20200302,105500,167.4000000,167.5000000,167.1000000,167.5000000,3418
LNTA,5,20200302,110000,167.5000000,168.0000000,167.5000000,168.0000000,3326
LNTA,5,20200302,110500,168.0000000,168.2000000,167.1000000,167.6000000,6357
LNTA,5,20200302,111000,167.5000000,168.2000000,167.5000000,167.9000000,2685
LNTA,5,20200302,111500,167.9000000,168.3000000,167.3000000,167.3000000,5877
LNTA,5,20200302,112000,167.3000000,167.5000000,166.4000000,167.3000000,11833
LNTA,5,20200302,112500,167.5000000,168.5000000,167.3000000,168.1000000,5560
LNTA,5,20200302,113000,168.1000000,168.5000000,167.1000000,167.4000000,5109
LNTA,5,20200302,113500,167.4000000,167.6000000,167.0000000,167.6000000,1021
LNTA,5,20200302,114000,167.6000000,168.0000000,167.6000000,167.9000000,6013
LNTA,5,20200302,114500,167.8000000,168.0000000,167.7000000,168.0000000,3399
LNTA,5,20200302,115000,167.7000000,168.0000000,167.5000000,167.9000000,2496
LNTA,5,20200302,115500,168.0000000,168.0000000,167.5000000,167.5000000,2445
LNTA,5,20200302,120000,167.7000000,168.0000000,167.5000000,167.6000000,912
LNTA,5,20200302,120500,167.9000000,168.0000000,167.6000000,167.9000000,848
LNTA,5,20200302,121000,167.6000000,168.0000000,167.5000000,167.9000000,1631
LNTA,5,20200302,121500,167.9000000,168.0000000,167.5000000,167.6000000,524
LNTA,5,20200302,122000,167.7000000,167.7000000,166.8000000,167.1000000,4202
LNTA,5,20200302,122500,166.9000000,167.4000000,166.9000000,167.4000000,747
LNTA,5,20200302,123000,167.4000000,167.7000000,167.2000000,167.7000000,1491
LNTA,5,20200302,123500,167.7000000,167.7000000,167.4000000,167.5000000,473
LNTA,5,20200302,124000,167.6000000,167.7000000,167.4000000,167.6000000,715
LNTA,5,20200302,124500,167.6000000,167.6000000,166.5000000,166.5000000,998
