<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LNTA,5,20210309,100500,257.4000000,260.6000000,256.5000000,260.3000000,10691
LNTA,5,20210309,101000,259.6000000,260.3000000,258.0000000,258.4000000,13948
LNTA,5,20210309,101500,258.6000000,259.2000000,256.1000000,257.1000000,19094
LNTA,5,20210309,102000,257.2000000,257.5000000,256.9000000,257.3000000,2964
LNTA,5,20210309,102500,257.3000000,258.1000000,256.8000000,257.3000000,10568
LNTA,5,20210309,103000,257.2000000,257.3000000,256.5000000,256.5000000,3833
LNTA,5,20210309,103500,256.9000000,257.0000000,253.1000000,253.6000000,23946
LNTA,5,20210309,104000,253.6000000,255.9000000,253.4000000,255.4000000,4465
LNTA,5,20210309,104500,255.4000000,255.7000000,254.6000000,254.9000000,3301
LNTA,5,20210309,105000,254.9000000,256.5000000,254.8000000,256.0000000,11392
LNTA,5,20210309,105500,255.7000000,257.0000000,255.7000000,256.2000000,5060
LNTA,5,20210309,110000,256.3000000,258.5000000,255.3000000,256.4000000,13470
LNTA,5,20210309,110500,256.3000000,257.9000000,256.3000000,256.5000000,4369
LNTA,5,20210309,111000,256.5000000,257.2000000,255.8000000,256.7000000,4517
LNTA,5,20210309,111500,256.7000000,257.1000000,256.1000000,256.6000000,3745
LNTA,5,20210309,112000,257.0000000,257.0000000,256.5000000,256.6000000,1053
LNTA,5,20210309,112500,256.8000000,256.9000000,256.5000000,256.8000000,2522
LNTA,5,20210309,113000,256.6000000,256.9000000,256.5000000,256.6000000,1180
LNTA,5,20210309,113500,256.8000000,257.2000000,256.5000000,256.8000000,2129
LNTA,5,20210309,114000,256.8000000,256.9000000,256.5000000,256.8000000,12121
LNTA,5,20210309,114500,256.8000000,257.0000000,256.5000000,256.7000000,1068
LNTA,5,20210309,115000,257.0000000,257.0000000,256.5000000,256.8000000,3260
LNTA,5,20210309,115500,256.5000000,256.8000000,256.5000000,256.8000000,1625
LNTA,5,20210309,120000,256.6000000,256.8000000,256.5000000,256.6000000,527
LNTA,5,20210309,120500,256.8000000,256.8000000,256.5000000,256.5000000,1932
LNTA,5,20210309,121000,256.5000000,256.8000000,256.5000000,256.5000000,1509
LNTA,5,20210309,121500,256.5000000,256.8000000,256.5000000,256.7000000,975
LNTA,5,20210309,122000,256.7000000,256.9000000,256.5000000,256.9000000,1542
LNTA,5,20210309,122500,256.9000000,257.0000000,256.6000000,257.0000000,1273
LNTA,5,20210309,123000,256.8000000,257.0000000,256.5000000,256.6000000,3225
LNTA,5,20210309,123500,256.8000000,256.9000000,256.5000000,256.6000000,2200
LNTA,5,20210309,124000,256.6000000,256.9000000,256.5000000,256.9000000,965
LNTA,5,20210309,124500,256.7000000,257.1000000,256.5000000,256.5000000,1033
LNTA,5,20210309,125000,256.6000000,256.9000000,256.5000000,256.8000000,726
LNTA,5,20210309,125500,256.5000000,257.1000000,256.5000000,257.0000000,1182
LNTA,5,20210309,130000,257.1000000,257.1000000,256.8000000,257.1000000,1193
LNTA,5,20210309,130500,257.0000000,257.8000000,256.8000000,257.4000000,2144
LNTA,5,20210309,131000,257.4000000,257.7000000,257.2000000,257.7000000,754
LNTA,5,20210309,131500,257.7000000,257.8000000,257.3000000,257.4000000,608
LNTA,5,20210309,132000,257.6000000,258.0000000,257.3000000,257.7000000,1689
LNTA,5,20210309,132500,257.9000000,258.0000000,257.7000000,257.8000000,940
LNTA,5,20210309,133000,258.0000000,258.0000000,257.7000000,257.9000000,1254
LNTA,5,20210309,133500,257.9000000,258.8000000,257.7000000,258.4000000,3833
LNTA,5,20210309,134000,258.4000000,258.9000000,258.2000000,258.9000000,1287
LNTA,5,20210309,134500,258.9000000,258.9000000,258.3000000,258.3000000,841
LNTA,5,20210309,135000,258.7000000,258.8000000,258.3000000,258.8000000,610
LNTA,5,20210309,135500,258.4000000,259.0000000,258.4000000,258.7000000,1287
