<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MGNT,5,20200302,100500,3213.5000000,3257.5000000,3213.5000000,3242.5000000,24779
MGNT,5,20200302,101000,3243.0000000,3245.0000000,3230.0000000,3242.5000000,14103
MGNT,5,20200302,101500,3241.5000000,3248.0000000,3237.5000000,3243.5000000,9720
MGNT,5,20200302,102000,3242.5000000,3248.0000000,3237.0000000,3248.0000000,9597
MGNT,5,20200302,102500,3248.0000000,3248.0000000,3227.5000000,3228.0000000,9673
MGNT,5,20200302,103000,3228.0000000,3230.5000000,3220.0000000,3225.5000000,3363
MGNT,5,20200302,103500,3225.0000000,3231.0000000,3224.5000000,3230.0000000,5933
MGNT,5,20200302,104000,3230.0000000,3231.0000000,3230.0000000,3231.0000000,8842
MGNT,5,20200302,104500,3231.0000000,3247.0000000,3230.0000000,3245.5000000,4910
MGNT,5,20200302,105000,3245.5000000,3245.5000000,3234.5000000,3240.0000000,4939
MGNT,5,20200302,105500,3241.0000000,3245.5000000,3235.0000000,3239.5000000,4942
MGNT,5,20200302,110000,3239.5000000,3259.5000000,3239.5000000,3257.0000000,10307
MGNT,5,20200302,110500,3255.0000000,3257.0000000,3236.5000000,3241.5000000,7628
MGNT,5,20200302,111000,3241.0000000,3252.0000000,3240.5000000,3246.5000000,4400
MGNT,5,20200302,111500,3245.5000000,3259.5000000,3244.0000000,3254.0000000,4422
MGNT,5,20200302,112000,3255.0000000,3260.0000000,3250.0000000,3253.5000000,4957
MGNT,5,20200302,112500,3253.0000000,3265.0000000,3253.0000000,3257.0000000,5661
MGNT,5,20200302,113000,3255.0000000,3259.5000000,3248.0000000,3253.0000000,6446
MGNT,5,20200302,113500,3253.0000000,3260.0000000,3245.0000000,3258.0000000,6663
MGNT,5,20200302,114000,3257.0000000,3267.0000000,3257.0000000,3262.0000000,5678
MGNT,5,20200302,114500,3265.5000000,3270.0000000,3263.0000000,3269.0000000,5684
MGNT,5,20200302,115000,3268.0000000,3270.0000000,3256.5000000,3260.0000000,5571
MGNT,5,20200302,115500,3260.0000000,3267.0000000,3259.5000000,3265.5000000,8151
MGNT,5,20200302,120000,3265.5000000,3271.5000000,3263.0000000,3264.0000000,4903
MGNT,5,20200302,120500,3264.0000000,3264.5000000,3252.0000000,3255.5000000,4514
MGNT,5,20200302,121000,3255.5000000,3257.0000000,3245.0000000,3245.0000000,4278
MGNT,5,20200302,121500,3248.0000000,3250.0000000,3240.5000000,3243.0000000,3878
MGNT,5,20200302,122000,3242.5000000,3244.0000000,3240.5000000,3244.0000000,3382
MGNT,5,20200302,122500,3244.0000000,3250.0000000,3244.0000000,3246.0000000,1719
MGNT,5,20200302,123000,3246.0000000,3246.0000000,3240.5000000,3242.0000000,3499
MGNT,5,20200302,123500,3242.0000000,3247.0000000,3240.5000000,3241.0000000,2438
MGNT,5,20200302,124000,3241.5000000,3246.0000000,3240.5000000,3245.0000000,4934
MGNT,5,20200302,124500,3245.0000000,3245.0000000,3226.0000000,3227.5000000,6345
MGNT,5,20200302,125000,3226.0000000,3241.0000000,3225.0000000,3238.0000000,2734
MGNT,5,20200302,125500,3238.0000000,3238.0000000,3221.5000000,3223.0000000,7353
MGNT,5,20200302,130000,3224.0000000,3237.5000000,3223.5000000,3236.0000000,3777
MGNT,5,20200302,130500,3235.0000000,3235.0000000,3223.0000000,3227.5000000,3946
MGNT,5,20200302,131000,3227.5000000,3230.0000000,3222.5000000,3227.5000000,1922
MGNT,5,20200302,131500,3226.0000000,3230.0000000,3222.5000000,3225.0000000,4663
MGNT,5,20200302,132000,3222.5000000,3229.0000000,3222.0000000,3224.0000000,4448
MGNT,5,20200302,132500,3224.0000000,3225.0000000,3219.0000000,3222.0000000,5317
MGNT,5,20200302,133000,3221.5000000,3226.5000000,3220.5000000,3225.0000000,3549
MGNT,5,20200302,133500,3225.5000000,3238.5000000,3224.0000000,3237.0000000,7837
MGNT,5,20200302,134000,3238.0000000,3238.0000000,3230.0000000,3233.0000000,2229
MGNT,5,20200302,134500,3232.5000000,3233.0000000,3226.0000000,3230.0000000,2878
MGNT,5,20200302,135000,3229.5000000,3239.0000000,3228.5000000,3228.5000000,2037
MGNT,5,20200302,135500,3228.5000000,3230.0000000,3223.0000000,3226.0000000,2529
MGNT,5,20200302,140000,3227.5000000,3230.0000000,3215.0000000,3215.0000000,4751
MGNT,5,20200302,140500,3215.0000000,3219.0000000,3215.0000000,3215.0000000,3082
MGNT,5,20200302,141000,3215.0000000,3215.0000000,3190.0000000,3192.0000000,19317
MGNT,5,20200302,141500,3192.5000000,3194.5000000,3182.5000000,3183.0000000,8063
MGNT,5,20200302,142000,3184.5000000,3194.5000000,3180.5000000,3191.0000000,6032
MGNT,5,20200302,142500,3193.0000000,3198.5000000,3189.5000000,3197.0000000,3573
MGNT,5,20200302,143000,3195.0000000,3198.5000000,3186.5000000,3188.0000000,3027
MGNT,5,20200302,143500,3187.0000000,3192.0000000,3180.5000000,3184.0000000,6210
MGNT,5,20200302,144000,3184.0000000,3188.0000000,3180.0000000,3181.5000000,3830
MGNT,5,20200302,144500,3181.5000000,3183.0000000,3163.0000000,3164.0000000,9129
MGNT,5,20200302,145000,3163.5000000,3175.0000000,3163.5000000,3174.5000000,3688
MGNT,5,20200302,145500,3174.0000000,3176.0000000,3165.0000000,3165.0000000,6331
MGNT,5,20200302,150000,3165.0000000,3172.0000000,3152.0000000,3153.0000000,7739
MGNT,5,20200302,150500,3153.0000000,3154.0000000,3100.5000000,3101.0000000,37700
MGNT,5,20200302,151000,3101.0000000,3156.0000000,3066.0000000,3134.0000000,39002
MGNT,5,20200302,151500,3139.5000000,3142.0000000,3108.0000000,3127.0000000,19731
MGNT,5,20200302,152000,3125.5000000,3137.0000000,3121.5000000,3121.5000000,7410
MGNT,5,20200302,152500,3124.0000000,3132.5000000,3115.0000000,3120.5000000,10100
MGNT,5,20200302,153000,3120.0000000,3152.5000000,3119.5000000,3151.0000000,7065
MGNT,5,20200302,153500,3151.0000000,3151.0000000,3125.5000000,3127.5000000,3927
MGNT,5,20200302,154000,3126.0000000,3141.5000000,3122.0000000,3130.0000000,4089
MGNT,5,20200302,154500,3131.0000000,3139.0000000,3127.5000000,3127.5000000,1738
MGNT,5,20200302,155000,3130.0000000,3142.5000000,3129.0000000,3142.5000000,1974
MGNT,5,20200302,155500,3140.5000000,3161.0000000,3137.5000000,3161.0000000,4254
MGNT,5,20200302,160000,3162.0000000,3192.0000000,3160.0000000,3176.5000000,10786
MGNT,5,20200302,160500,3179.0000000,3179.5000000,3155.5000000,3164.0000000,4175
MGNT,5,20200302,161000,3166.5000000,3173.0000000,3160.0000000,3173.0000000,2633
MGNT,5,20200302,161500,3173.0000000,3197.5000000,3170.5000000,3191.0000000,27238
MGNT,5,20200302,162000,3193.5000000,3206.0000000,3188.0000000,3188.0000000,6207
MGNT,5,20200302,162500,3191.0000000,3205.0000000,3183.0000000,3204.0000000,24951
MGNT,5,20200302,163000,3203.5000000,3208.5000000,3193.0000000,3205.5000000,10023
MGNT,5,20200302,163500,3205.5000000,3208.0000000,3187.5000000,3195.0000000,5010
MGNT,5,20200302,164000,3195.0000000,3202.0000000,3181.5000000,3184.0000000,4310
MGNT,5,20200302,164500,3184.0000000,3185.0000000,3156.0000000,3156.0000000,10354
MGNT,5,20200302,165000,3156.5000000,3165.5000000,3156.0000000,3163.5000000,3685
MGNT,5,20200302,165500,3166.0000000,3185.0000000,3157.0000000,3179.0000000,7821
MGNT,5,20200302,170000,3180.0000000,3193.0000000,3176.0000000,3189.0000000,5959
MGNT,5,20200302,170500,3190.0000000,3200.0000000,3184.5000000,3188.0000000,6700
MGNT,5,20200302,171000,3191.0000000,3192.0000000,3173.0000000,3179.5000000,5906
MGNT,5,20200302,171500,3180.0000000,3190.0000000,3175.0000000,3188.0000000,2268
MGNT,5,20200302,172000,3188.0000000,3192.0000000,3177.0000000,3192.0000000,2564
MGNT,5,20200302,172500,3190.0000000,3204.0000000,3185.5000000,3202.5000000,9222
MGNT,5,20200302,173000,3202.5000000,3222.0000000,3198.5000000,3211.5000000,9981
MGNT,5,20200302,173500,3212.0000000,3217.5000000,3187.5000000,3189.5000000,9020
MGNT,5,20200302,174000,3189.0000000,3191.0000000,3175.5000000,3185.0000000,8326
MGNT,5,20200302,174500,3185.0000000,3197.5000000,3180.0000000,3194.5000000,6237
MGNT,5,20200302,175000,3196.0000000,3205.0000000,3190.5000000,3196.0000000,4620
MGNT,5,20200302,175500,3195.0000000,3202.5000000,3190.0000000,3202.0000000,4313
MGNT,5,20200302,180000,3201.0000000,3202.5000000,3192.0000000,3194.0000000,1702
MGNT,5,20200302,180500,3196.5000000,3199.0000000,3174.5000000,3188.5000000,5243
MGNT,5,20200302,181000,3191.0000000,3191.0000000,3172.0000000,3187.5000000,2790
MGNT,5,20200302,181500,3186.0000000,3210.5000000,3184.0000000,3210.0000000,7912
MGNT,5,20200302,182000,3210.0000000,3212.5000000,3184.5000000,3195.0000000,6257
MGNT,5,20200302,182500,3195.0000000,3195.0000000,3184.0000000,3195.0000000,2585
