<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MGNT,5,20210309,100500,5024.5000000,5044.5000000,5020.5000000,5024.0000000,6286
MGNT,5,20210309,101000,5020.5000000,5026.0000000,4997.5000000,5007.5000000,8543
MGNT,5,20210309,101500,5006.0000000,5019.5000000,5003.0000000,5015.5000000,1899
MGNT,5,20210309,102000,5016.5000000,5033.5000000,5012.0000000,5033.5000000,3797
MGNT,5,20210309,102500,5034.0000000,5035.0000000,5020.0000000,5027.0000000,1288
MGNT,5,20210309,103000,5027.0000000,5030.0000000,5022.5000000,5026.5000000,715
MGNT,5,20210309,103500,5026.5000000,5034.5000000,5025.5000000,5031.0000000,859
MGNT,5,20210309,104000,5031.0000000,5044.0000000,5031.0000000,5037.5000000,2629
MGNT,5,20210309,104500,5035.0000000,5038.0000000,5030.0000000,5031.0000000,2331
MGNT,5,20210309,105000,5030.0000000,5040.5000000,5030.0000000,5039.0000000,1157
MGNT,5,20210309,105500,5039.0000000,5039.0000000,5030.0000000,5031.0000000,2862
MGNT,5,20210309,110000,5032.5000000,5035.0000000,5025.5000000,5034.5000000,8277
MGNT,5,20210309,110500,5032.0000000,5036.5000000,5025.0000000,5026.0000000,10518
MGNT,5,20210309,111000,5026.0000000,5026.0000000,5003.0000000,5012.0000000,5824
MGNT,5,20210309,111500,5010.5000000,5016.5000000,4984.5000000,4987.5000000,18305
MGNT,5,20210309,112000,4988.0000000,4990.5000000,4982.0000000,4987.0000000,2778
MGNT,5,20210309,112500,4987.0000000,4992.5000000,4971.0000000,4992.5000000,12561
MGNT,5,20210309,113000,4992.5000000,4997.0000000,4989.5000000,4997.0000000,1366
MGNT,5,20210309,113500,4997.0000000,5005.0000000,4995.0000000,5005.0000000,1538
MGNT,5,20210309,114000,5004.0000000,5004.5000000,4995.0000000,4995.5000000,6776
MGNT,5,20210309,114500,4996.0000000,4999.5000000,4995.0000000,4995.0000000,1171
MGNT,5,20210309,115000,4995.5000000,4997.0000000,4989.0000000,4991.5000000,931
MGNT,5,20210309,115500,4991.0000000,4994.5000000,4985.5000000,4988.5000000,2008
MGNT,5,20210309,120000,4989.0000000,4995.0000000,4978.0000000,4993.0000000,9383
MGNT,5,20210309,120500,4993.0000000,4994.0000000,4985.0000000,4987.5000000,2334
MGNT,5,20210309,121000,4987.0000000,4989.0000000,4980.0000000,4985.5000000,1301
MGNT,5,20210309,121500,4985.5000000,4985.5000000,4973.0000000,4977.5000000,4516
MGNT,5,20210309,122000,4976.0000000,4978.0000000,4953.0000000,4957.5000000,10237
MGNT,5,20210309,122500,4957.5000000,4957.5000000,4936.0000000,4949.0000000,19222
MGNT,5,20210309,123000,4950.0000000,4957.5000000,4945.5000000,4956.5000000,2081
MGNT,5,20210309,123500,4956.5000000,4958.0000000,4951.0000000,4954.5000000,1486
MGNT,5,20210309,124000,4954.5000000,4970.5000000,4954.5000000,4970.5000000,5715
MGNT,5,20210309,124500,4970.5000000,4976.5000000,4968.5000000,4969.5000000,1916
MGNT,5,20210309,125000,4969.5000000,4979.0000000,4969.5000000,4973.5000000,3157
MGNT,5,20210309,125500,4971.0000000,4975.0000000,4963.0000000,4969.0000000,1757
MGNT,5,20210309,130000,4967.5000000,4975.0000000,4966.0000000,4971.0000000,3740
MGNT,5,20210309,130500,4971.0000000,4980.0000000,4970.0000000,4971.0000000,6773
MGNT,5,20210309,131000,4971.0000000,4980.0000000,4971.0000000,4980.0000000,4210
MGNT,5,20210309,131500,4980.0000000,4980.0000000,4972.0000000,4980.0000000,3131
MGNT,5,20210309,132000,4980.0000000,4980.0000000,4975.0000000,4975.5000000,658
