<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,5,20200302,100500,984.8000000,987.2000000,970.0000000,981.8000000,149635
NVTK,5,20200302,101000,982.2000000,984.0000000,974.2000000,979.8000000,49075
NVTK,5,20200302,101500,979.0000000,979.6000000,973.4000000,978.2000000,47745
NVTK,5,20200302,102000,978.2000000,978.6000000,971.0000000,973.0000000,32071
NVTK,5,20200302,102500,973.4000000,977.2000000,971.8000000,973.4000000,33118
NVTK,5,20200302,103000,973.4000000,976.0000000,971.6000000,975.8000000,30207
NVTK,5,20200302,103500,975.8000000,979.2000000,975.4000000,977.2000000,20739
NVTK,5,20200302,104000,977.2000000,978.8000000,975.2000000,978.2000000,11016
NVTK,5,20200302,104500,978.8000000,988.4000000,978.6000000,987.2000000,37688
NVTK,5,20200302,105000,988.0000000,989.0000000,986.0000000,989.0000000,26896
NVTK,5,20200302,105500,989.0000000,993.4000000,986.6000000,987.6000000,37326
NVTK,5,20200302,110000,988.0000000,990.6000000,985.0000000,989.0000000,22470
NVTK,5,20200302,110500,989.0000000,991.6000000,983.4000000,989.6000000,54732
NVTK,5,20200302,111000,989.0000000,992.2000000,986.0000000,989.6000000,44840
NVTK,5,20200302,111500,989.6000000,994.6000000,987.4000000,991.4000000,34601
NVTK,5,20200302,112000,992.4000000,1003.0000000,991.4000000,1002.6000000,157831
NVTK,5,20200302,112500,1001.6000000,1002.4000000,996.0000000,996.6000000,31080
NVTK,5,20200302,113000,996.2000000,999.6000000,996.0000000,996.4000000,43848
NVTK,5,20200302,113500,997.4000000,999.6000000,996.0000000,998.8000000,85159
NVTK,5,20200302,114000,999.6000000,1003.6000000,998.2000000,1001.4000000,35584
NVTK,5,20200302,114500,1001.4000000,1005.0000000,997.0000000,1000.4000000,67043
NVTK,5,20200302,115000,1000.2000000,1001.4000000,997.2000000,999.0000000,43890
NVTK,5,20200302,115500,998.6000000,999.0000000,993.0000000,993.6000000,67913
NVTK,5,20200302,120000,994.0000000,997.6000000,992.8000000,992.8000000,32719
NVTK,5,20200302,120500,992.8000000,993.8000000,989.6000000,990.8000000,59203
NVTK,5,20200302,121000,990.8000000,995.0000000,990.0000000,991.2000000,36884
NVTK,5,20200302,121500,991.6000000,993.0000000,986.0000000,987.0000000,62979
NVTK,5,20200302,122000,987.0000000,988.0000000,984.6000000,988.0000000,28868
NVTK,5,20200302,122500,987.6000000,990.0000000,986.8000000,988.6000000,65718
NVTK,5,20200302,123000,988.6000000,989.0000000,984.2000000,985.2000000,20813
NVTK,5,20200302,123500,985.6000000,985.8000000,984.0000000,984.4000000,11944
NVTK,5,20200302,124000,984.2000000,987.0000000,984.2000000,984.8000000,12775
NVTK,5,20200302,124500,984.4000000,986.0000000,979.0000000,979.2000000,42562
NVTK,5,20200302,125000,979.4000000,982.2000000,976.2000000,981.6000000,84051
NVTK,5,20200302,125500,981.2000000,982.8000000,980.0000000,980.6000000,21236
NVTK,5,20200302,130000,980.2000000,987.2000000,980.0000000,986.6000000,22962
NVTK,5,20200302,130500,986.2000000,986.4000000,982.8000000,984.0000000,29242
NVTK,5,20200302,131000,984.0000000,988.0000000,983.0000000,985.8000000,40803
NVTK,5,20200302,131500,986.0000000,986.6000000,983.4000000,984.8000000,16429
NVTK,5,20200302,132000,984.8000000,988.0000000,984.2000000,985.6000000,48676
NVTK,5,20200302,132500,986.2000000,987.4000000,984.0000000,985.0000000,21612
NVTK,5,20200302,133000,985.8000000,988.0000000,985.8000000,987.6000000,47365
NVTK,5,20200302,133500,987.8000000,992.2000000,987.0000000,991.4000000,42503
NVTK,5,20200302,134000,991.4000000,992.0000000,988.2000000,988.8000000,11375
NVTK,5,20200302,134500,989.0000000,990.6000000,988.2000000,990.6000000,10338
NVTK,5,20200302,135000,990.0000000,993.4000000,988.6000000,988.8000000,9298
NVTK,5,20200302,135500,988.2000000,989.0000000,984.8000000,985.4000000,24701
NVTK,5,20200302,140000,985.2000000,985.6000000,981.0000000,981.0000000,18754
NVTK,5,20200302,140500,981.0000000,983.6000000,980.0000000,982.2000000,7402
NVTK,5,20200302,141000,982.2000000,984.6000000,979.6000000,981.0000000,40926
NVTK,5,20200302,141500,980.2000000,983.2000000,978.2000000,978.2000000,18384
NVTK,5,20200302,142000,978.8000000,982.6000000,977.4000000,980.0000000,30488
NVTK,5,20200302,142500,980.0000000,984.0000000,978.8000000,983.2000000,18620
NVTK,5,20200302,143000,984.0000000,984.2000000,981.6000000,982.0000000,11186
NVTK,5,20200302,143500,981.2000000,982.4000000,977.0000000,978.0000000,33637
NVTK,5,20200302,144000,978.0000000,982.6000000,978.0000000,980.2000000,16164
NVTK,5,20200302,144500,981.0000000,981.0000000,976.2000000,978.0000000,20681
NVTK,5,20200302,145000,978.0000000,980.6000000,976.8000000,979.0000000,22658
NVTK,5,20200302,145500,979.0000000,979.4000000,976.6000000,978.6000000,10639
NVTK,5,20200302,150000,978.0000000,980.8000000,970.0000000,970.0000000,40035
NVTK,5,20200302,150500,970.2000000,970.4000000,951.6000000,958.0000000,153531
NVTK,5,20200302,151000,956.6000000,970.0000000,946.6000000,968.6000000,103467
NVTK,5,20200302,151500,967.6000000,975.4000000,959.0000000,967.2000000,46683
NVTK,5,20200302,152000,967.4000000,972.0000000,962.2000000,962.2000000,35704
NVTK,5,20200302,152500,962.0000000,967.0000000,956.8000000,958.0000000,31026
NVTK,5,20200302,153000,958.0000000,967.2000000,957.2000000,967.0000000,38613
NVTK,5,20200302,153500,966.0000000,967.4000000,955.2000000,956.8000000,34139
NVTK,5,20200302,154000,956.0000000,963.8000000,953.0000000,959.2000000,59504
NVTK,5,20200302,154500,959.6000000,963.8000000,958.0000000,959.4000000,30785
