<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,5,20210309,100500,1404.0000000,1410.4000000,1398.2000000,1399.6000000,58218
NVTK,5,20210309,101000,1398.8000000,1403.4000000,1398.2000000,1401.2000000,28769
NVTK,5,20210309,101500,1401.2000000,1409.0000000,1401.0000000,1407.2000000,70532
NVTK,5,20210309,102000,1407.2000000,1412.8000000,1406.8000000,1409.4000000,46518
NVTK,5,20210309,102500,1409.4000000,1410.0000000,1406.8000000,1408.4000000,18325
NVTK,5,20210309,103000,1408.4000000,1409.0000000,1407.4000000,1408.2000000,12633
NVTK,5,20210309,103500,1407.8000000,1409.0000000,1407.8000000,1409.0000000,25504
NVTK,5,20210309,104000,1409.0000000,1414.4000000,1408.2000000,1412.8000000,29206
NVTK,5,20210309,104500,1413.0000000,1416.0000000,1412.6000000,1413.6000000,33767
NVTK,5,20210309,105000,1413.8000000,1416.0000000,1412.6000000,1415.8000000,8380
NVTK,5,20210309,105500,1415.4000000,1418.4000000,1415.2000000,1417.6000000,18434
NVTK,5,20210309,110000,1418.4000000,1419.2000000,1413.8000000,1418.0000000,17443
NVTK,5,20210309,110500,1417.0000000,1422.8000000,1416.8000000,1422.2000000,74910
NVTK,5,20210309,111000,1422.4000000,1430.0000000,1416.8000000,1427.0000000,54887
NVTK,5,20210309,111500,1427.4000000,1432.0000000,1425.2000000,1430.8000000,38960
NVTK,5,20210309,112000,1430.0000000,1433.6000000,1428.6000000,1429.8000000,37810
NVTK,5,20210309,112500,1429.8000000,1430.6000000,1425.2000000,1429.0000000,26376
NVTK,5,20210309,113000,1428.6000000,1429.0000000,1425.6000000,1427.6000000,26161
NVTK,5,20210309,113500,1428.0000000,1428.6000000,1427.0000000,1427.0000000,48778
NVTK,5,20210309,114000,1426.8000000,1427.8000000,1426.4000000,1427.0000000,11048
NVTK,5,20210309,114500,1427.0000000,1427.8000000,1425.4000000,1426.2000000,18678
NVTK,5,20210309,115000,1426.2000000,1427.2000000,1422.4000000,1423.0000000,13526
NVTK,5,20210309,115500,1423.4000000,1425.0000000,1420.2000000,1424.6000000,26077
NVTK,5,20210309,120000,1424.0000000,1426.2000000,1423.0000000,1425.0000000,16342
NVTK,5,20210309,120500,1425.0000000,1427.0000000,1425.0000000,1427.0000000,12902
NVTK,5,20210309,121000,1426.8000000,1427.2000000,1424.2000000,1425.4000000,28941
NVTK,5,20210309,121500,1424.8000000,1425.8000000,1422.2000000,1425.0000000,15735
NVTK,5,20210309,122000,1426.0000000,1426.8000000,1423.6000000,1424.2000000,14113
NVTK,5,20210309,122500,1424.2000000,1425.0000000,1420.8000000,1425.0000000,12083
NVTK,5,20210309,123000,1424.2000000,1427.2000000,1424.2000000,1426.2000000,10541
NVTK,5,20210309,123500,1426.0000000,1426.0000000,1424.8000000,1425.4000000,3098
NVTK,5,20210309,124000,1425.4000000,1427.2000000,1425.4000000,1427.0000000,13271
NVTK,5,20210309,124500,1427.0000000,1427.2000000,1425.8000000,1426.4000000,11096
NVTK,5,20210309,125000,1426.8000000,1427.0000000,1424.8000000,1424.8000000,9479
NVTK,5,20210309,125500,1424.8000000,1425.8000000,1424.8000000,1425.8000000,2172
NVTK,5,20210309,130000,1425.6000000,1427.2000000,1425.0000000,1427.2000000,15587
NVTK,5,20210309,130500,1427.2000000,1435.0000000,1426.8000000,1434.6000000,94604
NVTK,5,20210309,131000,1434.6000000,1435.0000000,1434.2000000,1435.0000000,46501
NVTK,5,20210309,131500,1434.8000000,1435.0000000,1433.4000000,1434.2000000,14686
NVTK,5,20210309,132000,1434.2000000,1438.0000000,1434.2000000,1436.0000000,43882
NVTK,5,20210309,132500,1436.8000000,1438.2000000,1435.8000000,1436.6000000,5916
NVTK,5,20210309,133000,1436.2000000,1438.0000000,1435.6000000,1437.2000000,13198
NVTK,5,20210309,133500,1438.0000000,1439.6000000,1437.0000000,1439.6000000,16738
NVTK,5,20210309,134000,1439.6000000,1442.4000000,1438.6000000,1441.6000000,17772
NVTK,5,20210309,134500,1441.6000000,1441.6000000,1438.6000000,1439.8000000,13746
NVTK,5,20210309,135000,1440.0000000,1440.0000000,1434.0000000,1435.2000000,12849
NVTK,5,20210309,135500,1434.6000000,1438.2000000,1434.4000000,1435.4000000,6574
NVTK,5,20210309,140000,1435.4000000,1438.2000000,1434.6000000,1437.2000000,10730
NVTK,5,20210309,140500,1436.8000000,1437.6000000,1436.8000000,1437.0000000,1501
NVTK,5,20210309,141000,1437.0000000,1439.8000000,1437.0000000,1439.8000000,27049
NVTK,5,20210309,141500,1439.6000000,1439.8000000,1438.4000000,1438.4000000,14963
NVTK,5,20210309,142000,1438.4000000,1439.8000000,1436.8000000,1439.8000000,6239
NVTK,5,20210309,142500,1439.2000000,1442.2000000,1439.0000000,1442.2000000,46934
NVTK,5,20210309,143000,1442.4000000,1444.0000000,1442.0000000,1443.0000000,15079
NVTK,5,20210309,143500,1442.2000000,1446.2000000,1442.2000000,1445.8000000,15225
NVTK,5,20210309,144000,1445.8000000,1447.6000000,1445.8000000,1447.0000000,12000
NVTK,5,20210309,144500,1447.0000000,1447.6000000,1444.8000000,1445.6000000,10494
NVTK,5,20210309,145000,1445.4000000,1446.0000000,1444.8000000,1445.0000000,5163
NVTK,5,20210309,145500,1445.0000000,1446.2000000,1444.4000000,1445.6000000,11436
NVTK,5,20210309,150000,1446.0000000,1446.6000000,1445.6000000,1446.4000000,4176
NVTK,5,20210309,150500,1446.0000000,1446.2000000,1444.8000000,1445.6000000,5630
NVTK,5,20210309,151000,1445.0000000,1448.8000000,1445.0000000,1448.2000000,14328
NVTK,5,20210309,151500,1448.2000000,1448.8000000,1447.6000000,1448.0000000,13373
NVTK,5,20210309,152000,1448.8000000,1450.0000000,1448.0000000,1448.2000000,30796
NVTK,5,20210309,152500,1448.2000000,1452.4000000,1447.8000000,1452.0000000,28134
NVTK,5,20210309,153000,1452.0000000,1452.2000000,1451.0000000,1452.2000000,13762
NVTK,5,20210309,153500,1452.0000000,1455.0000000,1451.4000000,1451.4000000,30003
NVTK,5,20210309,154000,1451.4000000,1453.4000000,1449.2000000,1453.4000000,31502
NVTK,5,20210309,154500,1453.2000000,1455.0000000,1451.2000000,1454.8000000,10191
NVTK,5,20210309,155000,1454.0000000,1456.6000000,1454.0000000,1455.4000000,14005
NVTK,5,20210309,155500,1455.8000000,1456.4000000,1453.8000000,1453.8000000,8704
NVTK,5,20210309,160000,1453.6000000,1454.2000000,1446.4000000,1446.4000000,23587
NVTK,5,20210309,160500,1446.4000000,1447.6000000,1444.0000000,1444.6000000,19264
NVTK,5,20210309,161000,1444.6000000,1448.0000000,1444.0000000,1446.6000000,17379
NVTK,5,20210309,161500,1447.0000000,1448.0000000,1445.4000000,1448.0000000,8803
NVTK,5,20210309,162000,1447.4000000,1449.6000000,1447.4000000,1448.8000000,14636
NVTK,5,20210309,162500,1449.6000000,1450.0000000,1448.8000000,1450.0000000,23376
NVTK,5,20210309,163000,1449.2000000,1453.8000000,1447.4000000,1453.0000000,34093
NVTK,5,20210309,163500,1452.6000000,1454.2000000,1452.0000000,1453.2000000,13761
NVTK,5,20210309,164000,1453.6000000,1454.2000000,1452.6000000,1453.0000000,51318
NVTK,5,20210309,164500,1453.0000000,1453.6000000,1452.0000000,1453.2000000,18269
NVTK,5,20210309,165000,1453.4000000,1458.4000000,1452.8000000,1458.4000000,34521
NVTK,5,20210309,165500,1458.6000000,1464.6000000,1458.0000000,1460.4000000,51552
NVTK,5,20210309,170000,1460.2000000,1461.2000000,1457.0000000,1457.6000000,13417
NVTK,5,20210309,170500,1458.6000000,1460.0000000,1454.2000000,1458.0000000,17443
NVTK,5,20210309,171000,1457.6000000,1463.2000000,1457.4000000,1460.4000000,39367
NVTK,5,20210309,171500,1459.6000000,1460.4000000,1457.0000000,1457.0000000,9779
NVTK,5,20210309,172000,1457.8000000,1458.4000000,1453.6000000,1453.6000000,18476
NVTK,5,20210309,172500,1453.8000000,1456.8000000,1453.8000000,1454.8000000,14559
