<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PIKK,5,20210309,100500,757.8000000,758.5000000,751.8000000,751.9000000,9774
PIKK,5,20210309,101000,751.9000000,751.9000000,741.8000000,743.2000000,19126
PIKK,5,20210309,101500,742.7000000,751.9000000,740.4000000,749.0000000,12388
PIKK,5,20210309,102000,749.1000000,750.0000000,748.0000000,748.3000000,2118
PIKK,5,20210309,102500,748.1000000,749.7000000,747.1000000,749.0000000,2121
PIKK,5,20210309,103000,748.8000000,750.0000000,748.0000000,749.1000000,997
PIKK,5,20210309,103500,748.7000000,755.0000000,748.6000000,755.0000000,8013
PIKK,5,20210309,104000,755.0000000,755.0000000,753.4000000,754.4000000,2340
PIKK,5,20210309,104500,754.4000000,754.4000000,751.0000000,752.0000000,3718
PIKK,5,20210309,105000,752.0000000,752.0000000,749.4000000,749.8000000,2215
PIKK,5,20210309,105500,749.8000000,749.9000000,747.2000000,747.8000000,3115
PIKK,5,20210309,110000,747.2000000,747.5000000,745.0000000,746.7000000,3524
PIKK,5,20210309,110500,746.7000000,747.0000000,742.6000000,742.6000000,2999
PIKK,5,20210309,111000,743.4000000,743.4000000,740.3000000,741.2000000,3432
PIKK,5,20210309,111500,741.2000000,741.2000000,738.0000000,739.1000000,7227
PIKK,5,20210309,112000,738.2000000,738.7000000,735.7000000,737.4000000,3754
PIKK,5,20210309,112500,737.4000000,744.0000000,737.3000000,744.0000000,6960
PIKK,5,20210309,113000,744.0000000,744.1000000,741.1000000,743.0000000,1901
PIKK,5,20210309,113500,742.5000000,743.0000000,741.4000000,741.7000000,948
PIKK,5,20210309,114000,741.1000000,742.3000000,739.1000000,740.0000000,2608
PIKK,5,20210309,114500,740.0000000,740.0000000,738.4000000,738.9000000,1994
PIKK,5,20210309,115000,738.9000000,738.9000000,735.8000000,737.8000000,2885
PIKK,5,20210309,115500,737.8000000,737.8000000,736.1000000,737.5000000,1308
PIKK,5,20210309,120000,737.5000000,737.8000000,736.4000000,737.7000000,1558
PIKK,5,20210309,120500,737.7000000,738.9000000,737.1000000,738.0000000,962
PIKK,5,20210309,121000,738.7000000,740.0000000,738.1000000,740.0000000,2166
PIKK,5,20210309,121500,740.0000000,741.6000000,740.0000000,741.6000000,1799
PIKK,5,20210309,122000,741.5000000,741.5000000,739.0000000,740.5000000,2292
PIKK,5,20210309,122500,739.5000000,743.4000000,738.9000000,743.1000000,7254
PIKK,5,20210309,123000,743.1000000,743.2000000,740.9000000,742.3000000,1281
PIKK,5,20210309,123500,742.3000000,742.4000000,741.7000000,742.4000000,1137
PIKK,5,20210309,124000,742.4000000,743.2000000,738.3000000,740.0000000,7557
PIKK,5,20210309,124500,739.9000000,741.0000000,738.0000000,740.0000000,2044
PIKK,5,20210309,125000,741.0000000,741.0000000,738.0000000,738.0000000,994
PIKK,5,20210309,125500,739.2000000,739.5000000,737.5000000,738.0000000,824
PIKK,5,20210309,130000,738.9000000,739.5000000,738.4000000,739.2000000,111
PIKK,5,20210309,130500,739.0000000,741.0000000,738.6000000,741.0000000,772
PIKK,5,20210309,131000,741.0000000,747.4000000,740.5000000,745.9000000,7799
PIKK,5,20210309,131500,746.1000000,747.4000000,740.0000000,742.3000000,4830
PIKK,5,20210309,132000,742.3000000,743.8000000,741.8000000,743.7000000,1024
PIKK,5,20210309,132500,743.7000000,745.3000000,743.1000000,744.1000000,1426
PIKK,5,20210309,133000,745.0000000,746.9000000,744.0000000,746.6000000,1905
PIKK,5,20210309,133500,745.8000000,750.9000000,745.8000000,750.9000000,2946
PIKK,5,20210309,134000,750.9000000,753.0000000,750.7000000,752.1000000,3899
PIKK,5,20210309,134500,751.3000000,752.0000000,749.0000000,749.0000000,3882
PIKK,5,20210309,135000,749.0000000,750.0000000,744.0000000,745.3000000,5572
PIKK,5,20210309,135500,745.3000000,748.0000000,744.5000000,747.8000000,1803
PIKK,5,20210309,140000,748.0000000,749.0000000,747.1000000,748.1000000,1492
PIKK,5,20210309,140500,748.1000000,749.0000000,747.0000000,747.9000000,450
PIKK,5,20210309,141000,747.9000000,749.5000000,747.4000000,749.5000000,686
PIKK,5,20210309,141500,749.5000000,749.9000000,747.1000000,748.6000000,1650
PIKK,5,20210309,142000,748.5000000,748.5000000,745.8000000,746.9000000,432
PIKK,5,20210309,142500,746.8000000,747.6000000,746.2000000,747.0000000,436
PIKK,5,20210309,143000,746.9000000,746.9000000,746.1000000,746.3000000,60
PIKK,5,20210309,143500,746.7000000,747.9000000,745.6000000,747.8000000,1538
PIKK,5,20210309,144000,747.4000000,747.7000000,746.6000000,746.6000000,245
PIKK,5,20210309,144500,747.3000000,747.8000000,746.7000000,747.7000000,539
PIKK,5,20210309,145000,747.9000000,747.9000000,746.4000000,747.0000000,375
PIKK,5,20210309,145500,747.0000000,747.0000000,745.4000000,746.2000000,823
PIKK,5,20210309,150000,746.2000000,747.9000000,746.2000000,747.7000000,1188
PIKK,5,20210309,150500,747.7000000,747.8000000,746.2000000,746.2000000,80
PIKK,5,20210309,151000,747.2000000,747.3000000,746.6000000,747.1000000,118
PIKK,5,20210309,151500,746.6000000,747.1000000,746.2000000,747.1000000,405
PIKK,5,20210309,152000,747.1000000,749.3000000,747.0000000,749.3000000,928
PIKK,5,20210309,152500,749.0000000,749.4000000,749.0000000,749.4000000,212
PIKK,5,20210309,153000,749.2000000,749.2000000,746.6000000,747.6000000,1089
PIKK,5,20210309,153500,747.0000000,748.5000000,746.9000000,747.5000000,439
PIKK,5,20210309,154000,747.4000000,750.0000000,746.9000000,749.9000000,1350
PIKK,5,20210309,154500,749.8000000,751.0000000,749.0000000,749.3000000,1730
PIKK,5,20210309,155000,749.1000000,750.9000000,749.1000000,749.6000000,1146
PIKK,5,20210309,155500,749.9000000,750.0000000,749.5000000,749.6000000,154
PIKK,5,20210309,160000,749.6000000,750.1000000,749.2000000,749.4000000,573
PIKK,5,20210309,160500,750.1000000,751.0000000,750.0000000,750.1000000,1194
PIKK,5,20210309,161000,750.8000000,752.0000000,750.8000000,751.0000000,1777
PIKK,5,20210309,161500,751.4000000,752.6000000,751.4000000,752.6000000,2243
PIKK,5,20210309,162000,752.6000000,752.6000000,752.1000000,752.4000000,942
PIKK,5,20210309,162500,752.4000000,752.6000000,751.5000000,752.2000000,2510
PIKK,5,20210309,163000,752.2000000,752.2000000,751.6000000,751.7000000,367
PIKK,5,20210309,163500,751.7000000,751.8000000,750.1000000,750.2000000,521
PIKK,5,20210309,164000,750.3000000,750.9000000,750.1000000,750.7000000,23
PIKK,5,20210309,164500,750.8000000,750.8000000,750.1000000,750.2000000,280
PIKK,5,20210309,165000,750.2000000,750.7000000,750.1000000,750.7000000,223
PIKK,5,20210309,165500,750.7000000,750.7000000,750.2000000,750.7000000,25
PIKK,5,20210309,170000,750.7000000,751.0000000,750.2000000,750.3000000,151
PIKK,5,20210309,170500,750.8000000,751.5000000,750.3000000,751.5000000,460
PIKK,5,20210309,171000,751.5000000,751.5000000,750.9000000,751.5000000,644
PIKK,5,20210309,171500,751.5000000,751.5000000,751.1000000,751.5000000,235
PIKK,5,20210309,172000,751.2000000,751.5000000,751.1000000,751.1000000,81
PIKK,5,20210309,172500,751.4000000,751.5000000,751.0000000,751.5000000,238
PIKK,5,20210309,173000,751.0000000,751.5000000,751.0000000,751.5000000,575
PIKK,5,20210309,173500,751.5000000,751.5000000,751.1000000,751.5000000,396
PIKK,5,20210309,174000,751.5000000,752.0000000,750.2000000,750.2000000,858
PIKK,5,20210309,174500,751.0000000,751.0000000,748.6000000,748.6000000,1325
PIKK,5,20210309,175000,749.2000000,751.3000000,748.6000000,750.7000000,623
PIKK,5,20210309,175500,750.0000000,751.0000000,750.0000000,750.6000000,119
PIKK,5,20210309,180000,750.6000000,751.4000000,750.0000000,750.0000000,434
PIKK,5,20210309,180500,750.8000000,750.9000000,749.8000000,750.9000000,286
PIKK,5,20210309,181000,751.2000000,752.8000000,751.2000000,752.4000000,1522
PIKK,5,20210309,181500,752.4000000,752.4000000,752.0000000,752.0000000,32
PIKK,5,20210309,182000,751.8000000,752.4000000,751.1000000,752.4000000,214
PIKK,5,20210309,182500,752.4000000,752.6000000,751.1000000,752.2000000,489
PIKK,5,20210309,183000,752.2000000,752.2000000,751.1000000,751.1000000,94
PIKK,5,20210309,183500,751.0000000,751.0000000,749.4000000,750.0000000,797
PIKK,5,20210309,184000,750.0000000,750.5000000,749.3000000,750.2000000,630
PIKK,5,20210309,185000,752.2000000,752.2000000,752.2000000,752.2000000,495
PIKK,5,20210309,191000,751.9000000,754.4000000,750.6000000,754.0000000,537
PIKK,5,20210309,191500,753.9000000,754.0000000,752.5000000,752.6000000,702
PIKK,5,20210309,192000,753.4000000,755.0000000,752.7000000,754.4000000,1702
PIKK,5,20210309,192500,755.1000000,764.2000000,755.1000000,762.2000000,6097
PIKK,5,20210309,193000,760.8000000,761.4000000,760.0000000,760.1000000,544
PIKK,5,20210309,193500,760.0000000,761.1000000,760.0000000,761.0000000,1277
PIKK,5,20210309,194000,761.0000000,765.0000000,761.0000000,763.7000000,1780
PIKK,5,20210309,194500,763.7000000,765.0000000,763.0000000,763.8000000,1488
PIKK,5,20210309,195000,763.8000000,764.0000000,762.4000000,762.4000000,224
PIKK,5,20210309,195500,763.1000000,764.0000000,762.5000000,763.5000000,210
PIKK,5,20210309,200000,762.9000000,764.0000000,762.8000000,763.0000000,103
PIKK,5,20210309,200500,763.7000000,764.0000000,762.4000000,763.4000000,220
PIKK,5,20210309,201000,763.1000000,764.0000000,763.0000000,763.3000000,144
PIKK,5,20210309,201500,763.8000000,763.9000000,762.4000000,762.8000000,689
PIKK,5,20210309,202000,762.7000000,763.0000000,762.3000000,763.0000000,260
PIKK,5,20210309,202500,762.3000000,763.0000000,762.3000000,763.0000000,98
PIKK,5,20210309,203000,763.0000000,763.0000000,762.1000000,762.1000000,142
PIKK,5,20210309,203500,762.1000000,762.1000000,760.8000000,761.9000000,326
PIKK,5,20210309,204000,761.9000000,762.0000000,761.3000000,761.8000000,88
PIKK,5,20210309,204500,761.4000000,762.0000000,761.2000000,762.0000000,98
PIKK,5,20210309,205000,761.7000000,762.0000000,761.4000000,761.6000000,14
PIKK,5,20210309,205500,761.9000000,762.0000000,761.4000000,761.4000000,23
PIKK,5,20210309,210000,761.8000000,761.8000000,761.3000000,761.8000000,410
PIKK,5,20210309,210500,761.8000000,762.9000000,760.3000000,762.9000000,1059
PIKK,5,20210309,211000,761.7000000,761.7000000,760.0000000,760.0000000,298
PIKK,5,20210309,211500,760.8000000,760.9000000,760.0000000,760.7000000,316
PIKK,5,20210309,212000,760.7000000,761.1000000,760.6000000,761.1000000,69
PIKK,5,20210309,212500,761.3000000,761.3000000,760.1000000,760.7000000,35
PIKK,5,20210309,213000,760.2000000,760.9000000,760.0000000,760.7000000,125
PIKK,5,20210309,213500,760.9000000,761.0000000,760.7000000,761.0000000,91
PIKK,5,20210309,214000,761.0000000,761.0000000,760.7000000,760.7000000,84
PIKK,5,20210309,214500,761.0000000,761.0000000,760.2000000,761.0000000,377
PIKK,5,20210309,215000,761.0000000,761.0000000,760.3000000,760.3000000,23
PIKK,5,20210309,215500,760.4000000,761.0000000,760.2000000,760.2000000,64
PIKK,5,20210309,220000,760.6000000,761.0000000,760.1000000,761.0000000,176
PIKK,5,20210309,220500,761.0000000,761.0000000,760.0000000,760.7000000,105
PIKK,5,20210309,221000,760.2000000,760.8000000,760.0000000,760.4000000,127
PIKK,5,20210309,221500,760.1000000,760.4000000,760.0000000,760.3000000,434
PIKK,5,20210309,222000,760.3000000,760.5000000,760.0000000,760.4000000,141
PIKK,5,20210309,222500,760.5000000,760.5000000,760.2000000,760.2000000,17
PIKK,5,20210309,223000,760.5000000,760.5000000,760.4000000,760.5000000,9
PIKK,5,20210309,223500,760.5000000,760.5000000,760.1000000,760.5000000,40
PIKK,5,20210309,224000,760.5000000,760.9000000,760.1000000,760.9000000,233
PIKK,5,20210309,224500,761.0000000,761.0000000,760.5000000,760.6000000,70
PIKK,5,20210309,225000,760.5000000,761.0000000,760.4000000,760.8000000,60
PIKK,5,20210309,225500,760.5000000,760.9000000,760.4000000,760.9000000,19
PIKK,5,20210309,230000,760.9000000,761.0000000,760.4000000,760.8000000,21
PIKK,5,20210309,230500,760.8000000,761.0000000,760.8000000,761.0000000,874
PIKK,5,20210309,231000,761.3000000,761.3000000,760.8000000,760.8000000,37
PIKK,5,20210309,231500,760.8000000,761.0000000,760.8000000,761.0000000,65
PIKK,5,20210309,232000,761.0000000,761.0000000,760.8000000,760.9000000,154
PIKK,5,20210309,232500,760.9000000,761.0000000,760.4000000,760.4000000,125
PIKK,5,20210309,233000,760.6000000,761.0000000,760.6000000,761.0000000,228
PIKK,5,20210309,233500,761.0000000,761.0000000,760.6000000,760.6000000,9
PIKK,5,20210309,234000,761.0000000,761.0000000,760.5000000,760.5000000,18
PIKK,5,20210309,234500,761.0000000,761.0000000,760.0000000,760.0000000,52
PIKK,5,20210309,235000,761.0000000,761.4000000,760.1000000,760.1000000,252
