<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,5,20210309,100500,564.5000000,573.4000000,564.5000000,567.9000000,358755
TATN,5,20210309,101000,567.5000000,568.6000000,564.8000000,568.5000000,161174
TATN,5,20210309,101500,568.3000000,570.0000000,567.8000000,569.5000000,112905
TATN,5,20210309,102000,569.3000000,573.5000000,569.2000000,572.3000000,181302
TATN,5,20210309,102500,572.3000000,573.4000000,570.6000000,572.9000000,139171
TATN,5,20210309,103000,573.1000000,573.3000000,572.3000000,572.4000000,59245
TATN,5,20210309,103500,572.4000000,574.5000000,572.0000000,573.4000000,139496
TATN,5,20210309,104000,573.4000000,577.4000000,570.8000000,576.6000000,276654
TATN,5,20210309,104500,577.0000000,577.4000000,574.7000000,576.5000000,105814
TATN,5,20210309,105000,576.5000000,578.6000000,576.4000000,578.3000000,102379
TATN,5,20210309,105500,578.4000000,580.0000000,578.0000000,578.6000000,227281
TATN,5,20210309,110000,578.6000000,579.7000000,578.3000000,579.6000000,64125
TATN,5,20210309,110500,579.6000000,585.2000000,579.2000000,584.0000000,373538
TATN,5,20210309,111000,583.7000000,586.9000000,581.5000000,585.4000000,268037
TATN,5,20210309,111500,585.4000000,587.5000000,584.8000000,585.0000000,154201
TATN,5,20210309,112000,584.8000000,585.5000000,584.0000000,585.3000000,103679
TATN,5,20210309,112500,585.4000000,587.5000000,584.5000000,587.4000000,85256
TATN,5,20210309,113000,587.4000000,589.5000000,586.7000000,589.0000000,155319
TATN,5,20210309,113500,589.0000000,594.7000000,589.0000000,591.7000000,571909
TATN,5,20210309,114000,591.2000000,591.6000000,588.1000000,589.0000000,174847
TATN,5,20210309,114500,589.5000000,594.2000000,589.1000000,593.2000000,199139
TATN,5,20210309,115000,593.1000000,595.5000000,592.8000000,594.5000000,274928
TATN,5,20210309,115500,594.7000000,599.0000000,589.0000000,596.2000000,726652
TATN,5,20210309,120000,596.0000000,596.0000000,592.9000000,593.4000000,128801
TATN,5,20210309,120500,593.4000000,596.6000000,593.0000000,596.0000000,113377
TATN,5,20210309,121000,595.8000000,596.3000000,593.5000000,594.2000000,79459
TATN,5,20210309,121500,594.0000000,594.9000000,591.4000000,593.7000000,271247
TATN,5,20210309,122000,593.8000000,595.0000000,592.9000000,593.2000000,79113
TATN,5,20210309,122500,593.3000000,593.9000000,591.7000000,591.9000000,74446
TATN,5,20210309,123000,591.9000000,594.5000000,590.9000000,594.2000000,182506
TATN,5,20210309,123500,594.3000000,594.6000000,593.3000000,593.5000000,41867
TATN,5,20210309,124000,593.3000000,595.9000000,593.3000000,595.8000000,82896
TATN,5,20210309,124500,595.8000000,596.3000000,594.4000000,594.6000000,71228
TATN,5,20210309,125000,594.8000000,594.9000000,593.5000000,594.0000000,55765
TATN,5,20210309,125500,593.9000000,594.9000000,593.7000000,594.4000000,29812
TATN,5,20210309,130000,594.4000000,595.9000000,594.0000000,594.9000000,95875
TATN,5,20210309,130500,594.9000000,597.0000000,594.9000000,596.6000000,85919
TATN,5,20210309,131000,596.6000000,598.4000000,596.4000000,597.6000000,125397
TATN,5,20210309,131500,598.0000000,598.7000000,598.0000000,598.6000000,70393
TATN,5,20210309,132000,598.6000000,601.9000000,598.6000000,600.6000000,860519
TATN,5,20210309,132500,600.5000000,601.4000000,600.3000000,600.5000000,100512
TATN,5,20210309,133000,600.5000000,601.0000000,599.4000000,600.3000000,138728
TATN,5,20210309,133500,600.8000000,603.4000000,600.6000000,602.6000000,199367
TATN,5,20210309,134000,602.6000000,603.9000000,601.5000000,603.1000000,165221
TATN,5,20210309,134500,603.1000000,603.5000000,601.7000000,602.0000000,104043
TATN,5,20210309,135000,601.7000000,603.4000000,599.8000000,599.8000000,126552
TATN,5,20210309,135500,599.9000000,600.5000000,598.3000000,599.4000000,112695
TATN,5,20210309,140000,599.7000000,601.5000000,599.3000000,599.9000000,117161
TATN,5,20210309,140500,599.9000000,600.2000000,599.1000000,600.1000000,99811
TATN,5,20210309,141000,600.1000000,602.4000000,600.0000000,601.9000000,86397
TATN,5,20210309,141500,601.8000000,602.5000000,601.5000000,602.1000000,73120
TATN,5,20210309,142000,602.4000000,602.5000000,601.3000000,601.6000000,38915
TATN,5,20210309,142500,601.7000000,605.0000000,601.4000000,604.9000000,218970
TATN,5,20210309,143000,605.0000000,605.0000000,602.8000000,603.5000000,68437
TATN,5,20210309,143500,603.5000000,605.8000000,603.4000000,605.4000000,162252
TATN,5,20210309,144000,605.5000000,606.4000000,605.0000000,605.3000000,92162
TATN,5,20210309,144500,605.0000000,606.4000000,604.0000000,606.2000000,67194
TATN,5,20210309,145000,606.3000000,607.0000000,605.3000000,605.9000000,110312
TATN,5,20210309,145500,605.7000000,606.2000000,604.6000000,604.8000000,77949
TATN,5,20210309,150000,604.7000000,605.8000000,604.6000000,605.4000000,72284
TATN,5,20210309,150500,605.3000000,605.5000000,604.1000000,604.5000000,54281
TATN,5,20210309,151000,604.5000000,604.9000000,603.7000000,604.6000000,62384
TATN,5,20210309,151500,604.6000000,604.8000000,603.9000000,604.4000000,46957
TATN,5,20210309,152000,604.3000000,604.5000000,602.8000000,603.2000000,55700
TATN,5,20210309,152500,603.1000000,603.6000000,602.2000000,602.2000000,59580
TATN,5,20210309,153000,602.2000000,602.7000000,601.2000000,601.8000000,61647
TATN,5,20210309,153500,602.0000000,602.3000000,600.7000000,601.0000000,51113
TATN,5,20210309,154000,601.0000000,602.0000000,600.7000000,601.4000000,81928
TATN,5,20210309,154500,601.6000000,604.0000000,601.6000000,603.8000000,73792
TATN,5,20210309,155000,603.9000000,605.0000000,603.2000000,603.2000000,62311
TATN,5,20210309,155500,603.2000000,603.2000000,601.1000000,601.1000000,51462
TATN,5,20210309,160000,601.1000000,602.2000000,601.1000000,601.4000000,65169
TATN,5,20210309,160500,601.5000000,602.4000000,601.1000000,601.9000000,46898
TATN,5,20210309,161000,602.0000000,602.6000000,601.4000000,601.5000000,74364
TATN,5,20210309,161500,601.5000000,601.9000000,601.1000000,601.8000000,45846
TATN,5,20210309,162000,601.5000000,601.8000000,599.7000000,600.0000000,94341
TATN,5,20210309,162500,600.0000000,600.5000000,598.8000000,599.8000000,148243
TATN,5,20210309,163000,599.6000000,599.9000000,598.1000000,599.1000000,125191
TATN,5,20210309,163500,599.3000000,599.5000000,598.2000000,598.6000000,56995
TATN,5,20210309,164000,598.8000000,602.0000000,598.7000000,601.3000000,103980
TATN,5,20210309,164500,601.3000000,601.6000000,599.8000000,600.1000000,66006
TATN,5,20210309,165000,600.2000000,601.2000000,599.8000000,601.0000000,60650
TATN,5,20210309,165500,601.0000000,603.0000000,601.0000000,602.5000000,60097
TATN,5,20210309,170000,602.6000000,602.8000000,600.5000000,600.6000000,66256
TATN,5,20210309,170500,600.8000000,601.6000000,600.1000000,600.7000000,65565
TATN,5,20210309,171000,600.7000000,602.0000000,600.4000000,601.3000000,43370
TATN,5,20210309,171500,601.5000000,602.2000000,601.3000000,601.7000000,39330
TATN,5,20210309,172000,601.5000000,602.2000000,601.4000000,601.5000000,46510
TATN,5,20210309,172500,601.5000000,602.0000000,600.9000000,601.1000000,75372
TATN,5,20210309,173000,601.1000000,601.1000000,599.9000000,600.3000000,181296
TATN,5,20210309,173500,600.3000000,601.0000000,599.5000000,600.2000000,117637
TATN,5,20210309,174000,600.4000000,600.6000000,599.1000000,599.6000000,85258
TATN,5,20210309,174500,599.6000000,601.0000000,599.1000000,600.9000000,108047
TATN,5,20210309,175000,600.8000000,602.5000000,600.4000000,602.3000000,59316
TATN,5,20210309,175500,602.3000000,604.0000000,602.3000000,603.8000000,88317
TATN,5,20210309,180000,603.9000000,604.4000000,603.7000000,603.9000000,71770
TATN,5,20210309,180500,603.8000000,604.0000000,602.6000000,603.1000000,93394
TATN,5,20210309,181000,603.1000000,603.8000000,602.9000000,603.3000000,130949
TATN,5,20210309,181500,603.5000000,603.9000000,603.3000000,603.8000000,54338
TATN,5,20210309,182000,603.8000000,604.4000000,603.5000000,604.4000000,134941
TATN,5,20210309,182500,604.4000000,605.4000000,604.1000000,605.3000000,196134
TATN,5,20210309,183000,605.3000000,607.9000000,605.0000000,607.1000000,238697
TATN,5,20210309,183500,607.3000000,608.8000000,606.8000000,608.6000000,336960
TATN,5,20210309,184000,608.6000000,609.8000000,608.4000000,608.9000000,288045
TATN,5,20210309,185000,606.8000000,606.8000000,606.8000000,606.8000000,642307
TATN,5,20210309,190500,606.8000000,606.8000000,606.8000000,606.8000000,1254
TATN,5,20210309,191000,606.8000000,608.0000000,605.7000000,607.0000000,31107
TATN,5,20210309,191500,607.0000000,607.2000000,603.8000000,606.0000000,120429
TATN,5,20210309,192000,606.0000000,607.2000000,606.0000000,606.0000000,49204
TATN,5,20210309,192500,606.2000000,607.5000000,606.0000000,607.0000000,52940
TATN,5,20210309,193000,607.1000000,607.3000000,607.0000000,607.0000000,28630
TATN,5,20210309,193500,607.2000000,607.2000000,602.6000000,602.8000000,107341
TATN,5,20210309,194000,603.0000000,605.1000000,602.5000000,603.6000000,25169
TATN,5,20210309,194500,603.6000000,603.8000000,602.3000000,603.2000000,46945
TATN,5,20210309,195000,603.3000000,604.8000000,602.8000000,604.1000000,19015
TATN,5,20210309,195500,604.5000000,604.7000000,604.0000000,604.2000000,4767
TATN,5,20210309,200000,604.2000000,605.7000000,604.2000000,604.8000000,18075
TATN,5,20210309,200500,604.9000000,604.9000000,603.7000000,603.9000000,6409
TATN,5,20210309,201000,604.0000000,604.0000000,602.9000000,603.0000000,29207
TATN,5,20210309,201500,603.0000000,603.3000000,602.9000000,603.0000000,8427
TATN,5,20210309,202000,603.1000000,604.2000000,603.0000000,604.1000000,12125
TATN,5,20210309,202500,604.1000000,604.3000000,603.3000000,604.0000000,14501
TATN,5,20210309,203000,604.0000000,604.2000000,603.7000000,603.7000000,8871
TATN,5,20210309,203500,603.7000000,604.1000000,603.6000000,603.6000000,2271
TATN,5,20210309,204000,603.9000000,604.0000000,603.5000000,604.0000000,5461
TATN,5,20210309,204500,603.9000000,604.2000000,603.5000000,604.1000000,14138
TATN,5,20210309,205000,603.7000000,604.0000000,603.5000000,603.5000000,10128
TATN,5,20210309,205500,603.7000000,603.9000000,603.2000000,603.6000000,7158
TATN,5,20210309,210000,603.6000000,603.6000000,603.2000000,603.6000000,8805
TATN,5,20210309,210500,603.6000000,604.8000000,603.3000000,604.3000000,13971
TATN,5,20210309,211000,604.7000000,605.0000000,604.3000000,604.6000000,9877
TATN,5,20210309,211500,604.9000000,605.2000000,604.4000000,604.8000000,3155
TATN,5,20210309,212000,605.0000000,605.0000000,604.4000000,604.7000000,4768
TATN,5,20210309,212500,604.5000000,604.7000000,604.1000000,604.5000000,1432
TATN,5,20210309,213000,604.2000000,605.1000000,604.2000000,605.0000000,8404
TATN,5,20210309,213500,605.0000000,605.5000000,604.8000000,605.4000000,8483
