<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,5,20210309,100500,4589.8000000,4672.2000000,4581.0000000,4619.8000000,89973
YNDX,5,20210309,101000,4618.4000000,4628.8000000,4610.8000000,4626.0000000,41405
YNDX,5,20210309,101500,4626.0000000,4626.0000000,4611.4000000,4615.0000000,7431
YNDX,5,20210309,102000,4615.0000000,4620.0000000,4590.4000000,4592.6000000,25274
YNDX,5,20210309,102500,4592.2000000,4609.6000000,4575.0000000,4609.6000000,28425
YNDX,5,20210309,103000,4609.6000000,4616.0000000,4605.2000000,4609.4000000,11405
YNDX,5,20210309,103500,4609.6000000,4615.0000000,4606.0000000,4613.6000000,12748
YNDX,5,20210309,104000,4613.6000000,4615.0000000,4612.4000000,4614.8000000,8645
YNDX,5,20210309,104500,4615.0000000,4625.0000000,4614.2000000,4614.8000000,13541
YNDX,5,20210309,105000,4614.8000000,4625.0000000,4614.2000000,4622.8000000,9141
YNDX,5,20210309,105500,4622.8000000,4644.0000000,4616.8000000,4642.6000000,11639
YNDX,5,20210309,110000,4641.0000000,4649.6000000,4628.0000000,4633.4000000,11131
YNDX,5,20210309,110500,4634.8000000,4647.4000000,4630.0000000,4631.8000000,16501
YNDX,5,20210309,111000,4631.8000000,4631.8000000,4614.2000000,4625.2000000,19245
YNDX,5,20210309,111500,4625.0000000,4627.0000000,4614.2000000,4614.2000000,8296
YNDX,5,20210309,112000,4614.2000000,4626.8000000,4614.2000000,4623.6000000,13249
YNDX,5,20210309,112500,4625.0000000,4625.0000000,4614.2000000,4616.0000000,5394
YNDX,5,20210309,113000,4616.0000000,4626.6000000,4614.2000000,4623.2000000,4098
YNDX,5,20210309,113500,4622.0000000,4638.4000000,4622.0000000,4631.6000000,5670
YNDX,5,20210309,114000,4631.2000000,4637.8000000,4627.4000000,4629.6000000,6161
YNDX,5,20210309,114500,4629.6000000,4636.0000000,4623.6000000,4636.0000000,8622
YNDX,5,20210309,115000,4636.0000000,4647.8000000,4632.0000000,4638.2000000,12406
YNDX,5,20210309,115500,4638.0000000,4638.2000000,4624.2000000,4626.0000000,7259
YNDX,5,20210309,120000,4628.0000000,4634.0000000,4618.0000000,4619.4000000,4219
YNDX,5,20210309,120500,4617.8000000,4626.6000000,4614.2000000,4625.0000000,7464
YNDX,5,20210309,121000,4625.4000000,4629.4000000,4614.4000000,4617.0000000,4795
YNDX,5,20210309,121500,4615.0000000,4621.0000000,4614.2000000,4617.0000000,6049
YNDX,5,20210309,122000,4619.6000000,4619.8000000,4614.2000000,4615.4000000,11317
YNDX,5,20210309,122500,4615.4000000,4621.0000000,4606.0000000,4607.4000000,16686
YNDX,5,20210309,123000,4607.4000000,4613.8000000,4606.0000000,4611.4000000,4046
YNDX,5,20210309,123500,4611.4000000,4619.8000000,4610.6000000,4619.6000000,3996
YNDX,5,20210309,124000,4619.8000000,4628.2000000,4613.8000000,4626.0000000,3937
YNDX,5,20210309,124500,4626.0000000,4630.0000000,4622.6000000,4625.8000000,5352
YNDX,5,20210309,125000,4625.0000000,4626.8000000,4611.6000000,4613.6000000,9596
YNDX,5,20210309,125500,4613.6000000,4622.6000000,4610.6000000,4612.0000000,4381
YNDX,5,20210309,130000,4610.4000000,4613.0000000,4603.0000000,4611.4000000,8282
YNDX,5,20210309,130500,4611.4000000,4620.8000000,4609.0000000,4616.6000000,4448
YNDX,5,20210309,131000,4616.0000000,4634.6000000,4613.2000000,4630.6000000,10464
YNDX,5,20210309,131500,4630.6000000,4635.0000000,4627.4000000,4629.6000000,4995
YNDX,5,20210309,132000,4630.0000000,4637.2000000,4628.4000000,4632.0000000,5661
YNDX,5,20210309,132500,4630.6000000,4632.2000000,4615.4000000,4615.4000000,13903
YNDX,5,20210309,133000,4618.0000000,4619.6000000,4613.6000000,4617.6000000,5087
YNDX,5,20210309,133500,4618.4000000,4624.2000000,4618.4000000,4621.0000000,1855
YNDX,5,20210309,134000,4621.0000000,4627.8000000,4615.6000000,4626.4000000,4752
YNDX,5,20210309,134500,4627.2000000,4632.0000000,4620.8000000,4628.6000000,5119
YNDX,5,20210309,135000,4628.6000000,4631.0000000,4626.0000000,4630.4000000,3933
YNDX,5,20210309,135500,4630.4000000,4633.6000000,4627.6000000,4632.8000000,3485
YNDX,5,20210309,140000,4632.8000000,4648.0000000,4631.2000000,4645.6000000,15196
YNDX,5,20210309,140500,4645.4000000,4665.4000000,4641.0000000,4664.6000000,11239
YNDX,5,20210309,141000,4663.0000000,4687.4000000,4657.0000000,4684.4000000,27459
YNDX,5,20210309,141500,4684.0000000,4687.0000000,4670.6000000,4672.0000000,9905
YNDX,5,20210309,142000,4672.0000000,4682.0000000,4671.6000000,4678.8000000,6468
YNDX,5,20210309,142500,4678.6000000,4693.4000000,4678.6000000,4693.4000000,5225
YNDX,5,20210309,143000,4693.4000000,4699.6000000,4689.4000000,4692.0000000,7504
YNDX,5,20210309,143500,4692.0000000,4695.8000000,4679.0000000,4680.2000000,5560
YNDX,5,20210309,144000,4679.0000000,4685.6000000,4677.8000000,4680.0000000,6999
YNDX,5,20210309,144500,4680.0000000,4680.0000000,4671.2000000,4675.0000000,6390
YNDX,5,20210309,145000,4675.0000000,4679.8000000,4664.0000000,4665.0000000,10772
YNDX,5,20210309,145500,4664.8000000,4681.0000000,4664.8000000,4681.0000000,4813
YNDX,5,20210309,150000,4681.0000000,4686.6000000,4678.8000000,4680.8000000,4471
YNDX,5,20210309,150500,4678.6000000,4679.8000000,4668.4000000,4675.8000000,5272
YNDX,5,20210309,151000,4675.8000000,4686.6000000,4675.8000000,4686.6000000,7163
YNDX,5,20210309,151500,4686.6000000,4686.6000000,4681.2000000,4685.0000000,7628
YNDX,5,20210309,152000,4685.0000000,4685.8000000,4680.2000000,4683.0000000,3260
YNDX,5,20210309,152500,4681.8000000,4684.0000000,4677.2000000,4681.4000000,5499
YNDX,5,20210309,153000,4681.4000000,4686.6000000,4678.0000000,4686.6000000,2818
YNDX,5,20210309,153500,4686.6000000,4686.6000000,4679.2000000,4686.6000000,7288
YNDX,5,20210309,154000,4685.2000000,4686.6000000,4680.4000000,4685.6000000,8717
YNDX,5,20210309,154500,4685.6000000,4686.6000000,4679.8000000,4685.2000000,5642
YNDX,5,20210309,155000,4684.8000000,4695.0000000,4682.4000000,4692.2000000,14513
YNDX,5,20210309,155500,4691.4000000,4696.0000000,4667.0000000,4668.4000000,7785
YNDX,5,20210309,160000,4668.4000000,4675.8000000,4657.6000000,4675.4000000,6875
YNDX,5,20210309,160500,4675.0000000,4683.8000000,4674.0000000,4681.6000000,7034
YNDX,5,20210309,161000,4679.8000000,4686.4000000,4679.0000000,4684.4000000,3589
YNDX,5,20210309,161500,4684.0000000,4690.0000000,4681.8000000,4690.0000000,4093
YNDX,5,20210309,162000,4690.0000000,4693.8000000,4686.6000000,4692.0000000,4775
YNDX,5,20210309,162500,4693.8000000,4704.0000000,4690.0000000,4699.8000000,13999
YNDX,5,20210309,163000,4699.6000000,4699.6000000,4685.2000000,4687.0000000,3682
YNDX,5,20210309,163500,4687.0000000,4699.0000000,4682.4000000,4698.8000000,4557
YNDX,5,20210309,164000,4698.8000000,4699.8000000,4693.0000000,4698.6000000,4932
YNDX,5,20210309,164500,4699.0000000,4703.0000000,4685.4000000,4687.8000000,12570
YNDX,5,20210309,165000,4687.8000000,4690.0000000,4680.0000000,4684.2000000,8923
YNDX,5,20210309,165500,4685.8000000,4686.8000000,4680.0000000,4683.0000000,5417
YNDX,5,20210309,170000,4681.4000000,4682.6000000,4665.0000000,4667.8000000,8501
YNDX,5,20210309,170500,4667.8000000,4679.0000000,4660.8000000,4677.2000000,8004
YNDX,5,20210309,171000,4677.2000000,4680.8000000,4675.0000000,4680.4000000,5573
YNDX,5,20210309,171500,4680.4000000,4683.4000000,4675.4000000,4680.0000000,19678
YNDX,5,20210309,172000,4680.6000000,4681.8000000,4677.0000000,4678.0000000,14036
YNDX,5,20210309,172500,4677.4000000,4682.8000000,4665.2000000,4677.2000000,16981
YNDX,5,20210309,173000,4676.4000000,4694.4000000,4673.0000000,4678.4000000,27045
YNDX,5,20210309,173500,4680.4000000,4680.4000000,4602.6000000,4620.0000000,108785
YNDX,5,20210309,174000,4618.6000000,4640.0000000,4606.0000000,4638.2000000,29810
YNDX,5,20210309,174500,4638.4000000,4642.4000000,4610.0000000,4627.0000000,17821
YNDX,5,20210309,175000,4626.8000000,4645.4000000,4614.0000000,4644.4000000,24822
YNDX,5,20210309,175500,4643.0000000,4667.6000000,4636.0000000,4664.8000000,23371
YNDX,5,20210309,180000,4666.8000000,4698.0000000,4666.0000000,4692.4000000,36099
YNDX,5,20210309,180500,4695.2000000,4704.0000000,4682.8000000,4701.4000000,30610
YNDX,5,20210309,181000,4701.0000000,4702.0000000,4675.0000000,4686.6000000,14042
YNDX,5,20210309,181500,4686.4000000,4686.4000000,4665.0000000,4673.2000000,11211
YNDX,5,20210309,182000,4673.6000000,4689.6000000,4673.2000000,4684.0000000,8825
YNDX,5,20210309,182500,4683.8000000,4684.8000000,4657.2000000,4663.0000000,9558
YNDX,5,20210309,183000,4663.0000000,4677.2000000,4657.0000000,4663.0000000,17348
YNDX,5,20210309,183500,4664.4000000,4674.0000000,4646.4000000,4653.0000000,18124
YNDX,5,20210309,184000,4654.0000000,4666.0000000,4651.6000000,4662.0000000,10492
YNDX,5,20210309,185000,4644.4000000,4644.4000000,4644.4000000,4644.4000000,52193
YNDX,5,20210309,190500,4645.2000000,4645.2000000,4645.2000000,4645.2000000,30
YNDX,5,20210309,191000,4649.6000000,4660.4000000,4649.6000000,4660.2000000,2834
YNDX,5,20210309,191500,4658.0000000,4667.4000000,4655.0000000,4663.6000000,2043
YNDX,5,20210309,192000,4666.0000000,4668.0000000,4655.2000000,4667.2000000,1917
YNDX,5,20210309,192500,4667.2000000,4684.0000000,4667.2000000,4675.0000000,5397
YNDX,5,20210309,193000,4675.0000000,4679.6000000,4675.0000000,4678.4000000,783
YNDX,5,20210309,193500,4679.0000000,4683.2000000,4675.4000000,4682.4000000,2103
YNDX,5,20210309,194000,4682.4000000,4691.6000000,4675.8000000,4689.8000000,3035
YNDX,5,20210309,194500,4689.8000000,4693.8000000,4683.8000000,4689.6000000,1719
YNDX,5,20210309,195000,4688.0000000,4698.0000000,4685.0000000,4692.4000000,3426
YNDX,5,20210309,195500,4692.6000000,4698.6000000,4692.4000000,4694.4000000,2031
YNDX,5,20210309,200000,4697.2000000,4699.8000000,4692.2000000,4699.8000000,2302
YNDX,5,20210309,200500,4699.2000000,4706.8000000,4698.2000000,4701.6000000,3849
YNDX,5,20210309,201000,4701.6000000,4705.0000000,4700.0000000,4703.8000000,2174
YNDX,5,20210309,201500,4703.8000000,4716.8000000,4701.4000000,4709.8000000,7265
YNDX,5,20210309,202000,4710.0000000,4715.0000000,4702.2000000,4702.4000000,6979
YNDX,5,20210309,202500,4703.8000000,4712.4000000,4700.0000000,4712.4000000,2193
YNDX,5,20210309,203000,4710.6000000,4717.8000000,4710.0000000,4712.2000000,2916
YNDX,5,20210309,203500,4710.2000000,4717.8000000,4710.0000000,4715.0000000,1739
YNDX,5,20210309,204000,4715.0000000,4727.8000000,4715.0000000,4727.8000000,9362
YNDX,5,20210309,204500,4727.8000000,4733.6000000,4715.0000000,4720.8000000,7847
YNDX,5,20210309,205000,4723.2000000,4725.0000000,4715.0000000,4720.4000000,2510
YNDX,5,20210309,205500,4720.6000000,4730.0000000,4716.6000000,4728.0000000,3923
YNDX,5,20210309,210000,4727.6000000,4744.4000000,4725.0000000,4743.6000000,7287
YNDX,5,20210309,210500,4741.2000000,4763.8000000,4740.4000000,4761.6000000,14561
YNDX,5,20210309,211000,4764.0000000,4769.2000000,4748.2000000,4749.8000000,6352
YNDX,5,20210309,211500,4751.6000000,4761.0000000,4749.4000000,4755.6000000,2799
YNDX,5,20210309,212000,4756.0000000,4756.0000000,4741.2000000,4747.0000000,3348
YNDX,5,20210309,212500,4746.8000000,4750.8000000,4741.0000000,4743.4000000,2647
YNDX,5,20210309,213000,4743.4000000,4744.6000000,4735.0000000,4737.4000000,4907
YNDX,5,20210309,213500,4739.0000000,4740.4000000,4733.6000000,4739.8000000,1855
YNDX,5,20210309,214000,4738.2000000,4745.0000000,4737.4000000,4744.0000000,2349
YNDX,5,20210309,214500,4744.0000000,4755.8000000,4742.4000000,4755.0000000,1700
YNDX,5,20210309,215000,4755.8000000,4756.0000000,4749.8000000,4754.0000000,1238
YNDX,5,20210309,215500,4752.4000000,4753.2000000,4750.0000000,4752.0000000,911
YNDX,5,20210309,220000,4752.0000000,4758.0000000,4750.0000000,4756.4000000,2599
YNDX,5,20210309,220500,4755.0000000,4756.0000000,4747.6000000,4751.2000000,2025
YNDX,5,20210309,221000,4754.4000000,4754.4000000,4739.4000000,4748.2000000,2000
YNDX,5,20210309,221500,4748.0000000,4748.0000000,4741.6000000,4745.0000000,513
YNDX,5,20210309,222000,4742.8000000,4746.0000000,4734.8000000,4735.2000000,1247
YNDX,5,20210309,222500,4737.6000000,4738.2000000,4725.4000000,4728.0000000,3152
YNDX,5,20210309,223000,4727.0000000,4728.8000000,4721.0000000,4725.2000000,1812
YNDX,5,20210309,223500,4725.2000000,4737.8000000,4725.2000000,4732.0000000,3515
YNDX,5,20210309,224000,4731.6000000,4741.4000000,4731.6000000,4739.4000000,2778
YNDX,5,20210309,224500,4739.2000000,4742.2000000,4735.0000000,4738.4000000,537
YNDX,5,20210309,225000,4738.4000000,4739.0000000,4731.0000000,4738.0000000,946
YNDX,5,20210309,225500,4737.8000000,4739.6000000,4733.6000000,4738.6000000,741
YNDX,5,20210309,230000,4738.0000000,4739.0000000,4735.0000000,4735.2000000,643
YNDX,5,20210309,230500,4735.0000000,4741.0000000,4735.0000000,4741.0000000,2070
YNDX,5,20210309,231000,4738.2000000,4745.0000000,4738.0000000,4745.0000000,963
YNDX,5,20210309,231500,4745.6000000,4751.4000000,4743.0000000,4743.8000000,2579
YNDX,5,20210309,232000,4743.0000000,4743.0000000,4735.0000000,4735.0000000,1518
YNDX,5,20210309,232500,4737.6000000,4738.2000000,4726.0000000,4728.4000000,1965
YNDX,5,20210309,233000,4732.8000000,4737.4000000,4729.6000000,4732.0000000,759
YNDX,5,20210309,233500,4734.2000000,4735.4000000,4730.0000000,4731.4000000,836
YNDX,5,20210309,234000,4730.2000000,4731.6000000,4716.0000000,4721.0000000,3573
YNDX,5,20210309,234500,4722.8000000,4729.6000000,4712.0000000,4713.0000000,6657
YNDX,5,20210309,235000,4714.4000000,4717.0000000,4700.0000000,4707.6000000,7167
YNDX,5,20210310,100500,4720.0000000,4778.0000000,4710.8000000,4755.4000000,20236
YNDX,5,20210310,101000,4759.8000000,4778.6000000,4740.2000000,4747.6000000,17318
YNDX,5,20210310,101500,4747.6000000,4762.8000000,4743.6000000,4757.0000000,8708
YNDX,5,20210310,102000,4757.8000000,4762.0000000,4752.0000000,4758.0000000,6527
YNDX,5,20210310,102500,4758.0000000,4764.0000000,4756.0000000,4763.6000000,6023
YNDX,5,20210310,103000,4763.8000000,4777.8000000,4763.0000000,4776.8000000,10361
YNDX,5,20210310,103500,4776.2000000,4794.6000000,4776.2000000,4793.0000000,16543
YNDX,5,20210310,104000,4793.8000000,4794.6000000,4776.2000000,4778.8000000,11254
YNDX,5,20210310,104500,4778.6000000,4780.0000000,4770.0000000,4777.0000000,7948
YNDX,5,20210310,105000,4779.0000000,4793.0000000,4771.6000000,4789.0000000,8999
YNDX,5,20210310,105500,4788.0000000,4796.0000000,4778.0000000,4788.0000000,7321
YNDX,5,20210310,110000,4788.0000000,4799.8000000,4781.0000000,4798.0000000,8300
YNDX,5,20210310,110500,4797.8000000,4822.0000000,4794.2000000,4822.0000000,23447
YNDX,5,20210310,111000,4822.0000000,4831.2000000,4812.6000000,4825.2000000,16320
YNDX,5,20210310,111500,4823.8000000,4827.6000000,4801.6000000,4814.6000000,18334
YNDX,5,20210310,112000,4812.0000000,4820.0000000,4807.0000000,4812.4000000,6240
YNDX,5,20210310,112500,4812.4000000,4813.4000000,4803.8000000,4812.8000000,7827
YNDX,5,20210310,113000,4810.2000000,4812.8000000,4777.6000000,4790.0000000,18181
YNDX,5,20210310,113500,4789.6000000,4802.2000000,4786.2000000,4802.2000000,5769
YNDX,5,20210310,114000,4802.0000000,4815.0000000,4800.0000000,4812.6000000,5011
YNDX,5,20210310,114500,4814.6000000,4815.0000000,4808.8000000,4810.2000000,4484
YNDX,5,20210310,115000,4810.2000000,4818.2000000,4802.6000000,4815.2000000,8337
YNDX,5,20210310,115500,4813.2000000,4817.8000000,4810.0000000,4811.8000000,3277
YNDX,5,20210310,120000,4811.8000000,4811.8000000,4794.4000000,4796.8000000,5463
YNDX,5,20210310,120500,4796.2000000,4796.2000000,4766.0000000,4768.2000000,21615
YNDX,5,20210310,121000,4768.2000000,4779.4000000,4761.6000000,4777.6000000,6222
YNDX,5,20210310,121500,4777.6000000,4777.6000000,4761.6000000,4764.2000000,6522
YNDX,5,20210310,122000,4766.8000000,4768.8000000,4761.6000000,4764.8000000,3705
YNDX,5,20210310,122500,4764.6000000,4771.0000000,4755.0000000,4768.6000000,11667
YNDX,5,20210310,123000,4767.8000000,4776.6000000,4765.2000000,4772.0000000,3418
YNDX,5,20210310,123500,4772.0000000,4773.0000000,4765.0000000,4771.0000000,4121
YNDX,5,20210310,124000,4770.0000000,4774.0000000,4766.0000000,4773.0000000,3536
YNDX,5,20210310,124500,4773.2000000,4777.0000000,4770.6000000,4770.8000000,1698
YNDX,5,20210310,125000,4770.2000000,4772.6000000,4765.0000000,4767.6000000,6889
YNDX,5,20210310,125500,4766.0000000,4767.2000000,4757.0000000,4765.2000000,6414
YNDX,5,20210310,130000,4765.8000000,4765.8000000,4757.0000000,4764.0000000,3256
YNDX,5,20210310,130500,4764.0000000,4764.0000000,4743.6000000,4750.0000000,15311
YNDX,5,20210310,131000,4750.4000000,4770.0000000,4746.8000000,4756.6000000,13009
YNDX,5,20210310,131500,4759.2000000,4767.0000000,4746.0000000,4753.0000000,7308
YNDX,5,20210310,132000,4752.6000000,4757.2000000,4752.6000000,4754.6000000,1593
YNDX,5,20210310,132500,4754.2000000,4764.8000000,4754.0000000,4760.4000000,1942
YNDX,5,20210310,133000,4760.2000000,4760.4000000,4747.2000000,4748.6000000,3919
YNDX,5,20210310,133500,4748.8000000,4755.4000000,4745.6000000,4751.8000000,8361
YNDX,5,20210310,134000,4751.8000000,4754.4000000,4747.2000000,4752.2000000,2482
YNDX,5,20210310,134500,4754.0000000,4754.0000000,4745.0000000,4747.8000000,4793
YNDX,5,20210310,135000,4746.8000000,4750.6000000,4725.4000000,4735.8000000,13253
YNDX,5,20210310,135500,4735.8000000,4737.0000000,4730.0000000,4730.2000000,5073
YNDX,5,20210310,140000,4732.8000000,4732.8000000,4720.0000000,4725.8000000,9247
YNDX,5,20210310,140500,4725.8000000,4726.0000000,4720.0000000,4723.8000000,9482
YNDX,5,20210310,141000,4725.0000000,4729.0000000,4720.0000000,4720.2000000,6072
YNDX,5,20210310,141500,4720.6000000,4728.2000000,4720.0000000,4726.8000000,4714
YNDX,5,20210310,142000,4727.0000000,4731.0000000,4724.6000000,4728.8000000,3122
YNDX,5,20210310,142500,4728.0000000,4728.6000000,4705.2000000,4714.6000000,13525
YNDX,5,20210310,143000,4712.6000000,4712.6000000,4690.8000000,4694.0000000,20147
YNDX,5,20210310,143500,4694.0000000,4708.8000000,4687.4000000,4687.4000000,10498
YNDX,5,20210310,144000,4687.4000000,4700.0000000,4687.4000000,4692.2000000,4487
YNDX,5,20210310,144500,4692.2000000,4703.8000000,4691.2000000,4698.4000000,5527
YNDX,5,20210310,145000,4700.0000000,4701.8000000,4695.6000000,4696.8000000,5054
YNDX,5,20210310,145500,4696.6000000,4696.6000000,4685.0000000,4691.2000000,4209
YNDX,5,20210310,150000,4690.0000000,4703.8000000,4685.0000000,4701.6000000,10551
YNDX,5,20210310,150500,4703.4000000,4709.6000000,4700.4000000,4705.0000000,3799
YNDX,5,20210310,151000,4706.4000000,4712.0000000,4704.0000000,4711.8000000,7358
YNDX,5,20210310,151500,4711.8000000,4728.2000000,4711.6000000,4726.4000000,10099
YNDX,5,20210310,152000,4726.4000000,4732.6000000,4724.4000000,4728.6000000,3734
YNDX,5,20210310,152500,4727.2000000,4730.0000000,4715.0000000,4717.0000000,2449
YNDX,5,20210310,153000,4715.4000000,4715.4000000,4700.8000000,4702.6000000,4896
YNDX,5,20210310,153500,4700.8000000,4709.0000000,4697.6000000,4705.2000000,5982
YNDX,5,20210310,154000,4706.6000000,4714.6000000,4700.0000000,4714.6000000,3048
YNDX,5,20210310,154500,4714.6000000,4714.8000000,4700.0000000,4705.2000000,3508
YNDX,5,20210310,155000,4706.8000000,4707.0000000,4699.0000000,4704.0000000,2105
YNDX,5,20210310,155500,4705.6000000,4711.0000000,4703.4000000,4707.6000000,1006
YNDX,5,20210310,160000,4705.4000000,4711.6000000,4700.2000000,4711.6000000,2383
YNDX,5,20210310,160500,4711.6000000,4713.4000000,4707.0000000,4709.4000000,1744
YNDX,5,20210310,161000,4708.4000000,4713.2000000,4695.6000000,4695.8000000,4701
YNDX,5,20210310,161500,4698.2000000,4698.2000000,4684.4000000,4690.4000000,4386
YNDX,5,20210310,162000,4688.4000000,4696.0000000,4687.0000000,4691.0000000,2793
YNDX,5,20210310,162500,4692.8000000,4700.4000000,4691.0000000,4700.0000000,3447
YNDX,5,20210310,163000,4700.0000000,4709.2000000,4698.6000000,4708.8000000,1568
YNDX,5,20210310,163500,4708.8000000,4738.0000000,4707.2000000,4727.8000000,15650
YNDX,5,20210310,164000,4727.8000000,4729.6000000,4712.2000000,4722.2000000,8943
YNDX,5,20210310,164500,4723.2000000,4730.0000000,4715.2000000,4728.0000000,4654
YNDX,5,20210310,165000,4728.0000000,4734.6000000,4727.4000000,4732.0000000,3711
YNDX,5,20210310,165500,4732.0000000,4735.0000000,4725.0000000,4733.0000000,3545
YNDX,5,20210310,170000,4732.8000000,4747.0000000,4725.0000000,4747.0000000,8590
YNDX,5,20210310,170500,4745.2000000,4753.0000000,4736.4000000,4750.0000000,9139
YNDX,5,20210310,171000,4752.4000000,4765.0000000,4749.0000000,4761.6000000,6772
